"massspectroscopy_ID","UID","Analysis","atom","delta","percentage","amplitude"
"NiWUE_FLT_285","NiWUE_TU_Berlin_3_2021_straw","17562","C",-28.3041428571429,42.9899763475613,5105
"NiWUE_FLT_286","NiWUE_TU_Berlin_6_2021_straw","17563","C",-28.8401428571429,43.1450980598043,5131
"NiWUE_FLT_287","NiWUE_TU_Berlin_11_2021_straw","17564","C",-28.4921428571429,40.6160167850144,4799
"NiWUE_FLT_288","NiWUE_TU_Berlin_14_2021_straw","17565","C",-28.5441428571429,52.4288480647796,5771
"NiWUE_FLT_289","NiWUE_TU_Berlin_19_2021_straw","17566","C",-28.7341428571429,42.2410038893753,4937
"NiWUE_FLT_290","NiWUE_TU_Berlin_22_2021_straw","17567","C",-28.1931428571429,42.4521730934184,4944
"NiWUE_FLT_291","NiWUE_TU_Berlin_27_2021_straw","17570","C",-28.8571428571429,42.9007273425827,4848
"NiWUE_FLT_292","NiWUE_TU_Berlin_30_2021_straw","17571","C",-28.8751428571429,42.2521012459167,4920
"NiWUE_FLT_293","NiWUE_TU_Berlin_35_2021_straw","17572","C",-29.1831428571429,42.1142590365422,4885
"NiWUE_FLT_294","NiWUE_TU_Berlin_38_2021_straw","17573","C",-28.6391428571429,41.018572151632,4857
"NiWUE_FLT_295","NiWUE_TU_Berlin_43_2021_straw","17574","C",-28.0211428571429,42.106080755292,4815
"NiWUE_FLT_296","NiWUE_TU_Berlin_46_2021_straw","17575","C",-28.9801428571429,42.0518875208938,4751
"NiWUE_FLT_297","NiWUE_TU_Berlin_51_2021_straw","17576","C",-28.6681428571429,43.0010410912603,4977
"NiWUE_FLT_298","NiWUE_TU_Berlin_54_2021_straw","17582","C",-28.7031428571429,42.2812738255212,4988
"NiWUE_FLT_299","NiWUE_TU_Berlin_59_2021_straw","17583","C",-28.3391428571429,42.1746674137067,4776
"NiWUE_FLT_300","NiWUE_TU_Berlin_62_2021_straw","17584","C",-28.5761428571429,41.4149125606489,4774
"NiWUE_FLT_301","NiWUE_TU_Berlin_65_2021_straw","17585","C",-28.7801428571429,42.3411449964852,5011
"NiWUE_FLT_302","NiWUE_TU_Berlin_72_2021_straw","17586","C",-28.7201428571429,41.5220271990973,4819
"NiWUE_FLT_303","NiWUE_TU_Berlin_73_2021_straw","17587","C",-27.9001428571429,42.0243657887862,4939
"NiWUE_FLT_304","NiWUE_TU_Berlin_80_2021_straw","17588","C",-28.4421428571429,41.4594498465165,4761
"NiWUE_FLT_305","NiWUE_TU_Berlin_81_2021_straw","17591","C",-28.2686,41.6452521483736,4854
"NiWUE_FLT_306","NiWUE_TU_Berlin_88_2021_straw","17592","C",-28.5436,41.9317653817666,4790
"NiWUE_FLT_307","NiWUE_TU_Berlin_89_2021_straw","17594","C",-28.8356,41.0610650016229,4852
"NiWUE_FLT_308","NiWUE_TU_Berlin_96_2021_straw","17595","C",-29.2006,41.1903398664848,4844
"NiWUE_FLT_310","NiWUE_TU_Berlin_103_2021_straw","17597","C",-28.4546,43.0499952788415,4869
"NiWUE_FLT_311","NiWUE_TU_Berlin_106_2021_straw","17598","C",-28.6416,42.6748838543632,4803
"NiWUE_FLT_312","NiWUE_TU_Berlin_111_2021_straw","17599","C",-28.4896,43.2621154293453,4917
"NiWUE_FLT_313","NiWUE_TU_Berlin_114_2021_straw","17600","C",-27.6756,41.3924508262383,4846
"NiWUE_FLT_314","NiWUE_TU_Berlin_119_2021_straw","17606","C",-28.5766,41.9487040990778,4955
"NiWUE_FLT_315","NiWUE_TU_Berlin_122_2021_straw","17607","C",-28.9166,42.1858987376261,4952
"NiWUE_FLT_316","NiWUE_TU_Berlin_127_2021_straw","17608","C",-28.3206,41.1633178064831,4768
"NiWUE_FLT_317","NiWUE_TU_Berlin_130_2021_straw","17609","C",-28.5516,40.8520276558027,4834
"NiWUE_FLT_318","NiWUE_TU_Berlin_135_2021_straw","17610","C",-28.9056,41.1297282849527,4670
"NiWUE_FLT_319","NiWUE_TU_Berlin_138_2021_straw","17611","C",-28.5266,41.5076996792123,4887
"NiWUE_FLT_320","NiWUE_TU_Berlin_143_2021_straw","17613","C",-27.9536,40.3553579491811,4821
"NiWUE_FLT_321","NiWUE_TU_Berlin_146_2021_straw","17614","C",-28.4936,42.1734515985191,4791
"NiWUE_FLT_322","NiWUE_TU_Berlin_151_2021_straw","17615","C",-28.9276,41.18553670073,4896
"NiWUE_FLT_323","NiWUE_TU_Berlin_154_2021_straw","17616","C",-28.9006,41.7028843105981,4941
"NiWUE_FLT_324","NiWUE_TU_Berlin_159_2021_straw","17617","C",-28.4596,40.7316214029292,4646
"NiWUE_FLT_325","NiWUE_TU_Berlin_164_2021_straw","17618","C",-28.6246,41.4910163011374,4893
"NiWUE_FLT_326","NiWUE_TU_Berlin_165_2021_straw","17619","C",-28.9696,41.7567724133005,4710
"NiWUE_FLT_327","NiWUE_TU_Berlin_172_2021_straw","17620","C",-28.3266,42.1023733598881,4785
"NiWUE_FLT_328","NiWUE_TU_Berlin_173_2021_straw","17623","C",-29.0116,42.2004154366555,4804
"NiWUE_FLT_329","NiWUE_TU_Berlin_180_2021_straw","17624","C",-28.4626,41.4410399183479,4765
"NiWUE_FLT_330","NiWUE_TU_Berlin_181_2021_straw","17626","C",-28.3046,42.4134211197859,5023
"NiWUE_FLT_331","NiWUE_TU_Berlin_188_2021_straw","17627","C",-28.3456,41.1002246885025,4866
