"massspectroscopy_ID","UID","Analysis_C","atom_C","delta_C","percentage_C","amplitude_C","Analysis_N","atom_N","delta_N","percentage_N","amplitude_N","C_N_ratio"
"NiWUE_FLT_646","NiWUE_Rothamsted_081_1980_grain","15928","C",-25.2815714285714,42.8908403929797,5270,"15928","N",26.2888571428571,2.26726806012628,2613,18.9174104056275
"NiWUE_FLT_647","NiWUE_Rothamsted_081_1980_straw","15929","C",-26.4875714285714,44.8399576887586,5247,"15929","N",4.23285714285714,0.590980275711875,648,75.8738650536955
"NiWUE_FLT_648","NiWUE_Rothamsted_091_1980_grain","15930","C",-25.2385714285714,43.8398716025188,5277,"15930","N",91.9578571428572,2.49678464074984,2829,17.5585314355958
"NiWUE_FLT_649","NiWUE_Rothamsted_091_1980_straw","15931","C",-26.2055714285714,45.2993253227348,5511,"15931","N",60.6268571428571,0.638325802166179,732,70.9658377728272
"NiWUE_FLT_650","NiWUE_Rothamsted_031_1981_grain","15932","C",-25.8175714285714,44.3381476088985,5325,"15932","N",1.62085714285714,1.74106601952394,1970,25.4660921020226
"NiWUE_FLT_652","NiWUE_Rothamsted_061_1981_grain","15936","C",-25.8125714285714,43.8177633428109,5278,"15936","N",67.3148571428572,1.4411672808282,1626,30.4043561949519
"NiWUE_FLT_654","NiWUE_Rothamsted_071_1981_grain","15938","C",-26.0085714285714,42.4409001619246,5128,"15938","N",128.885857142857,1.63033194221357,1835,26.0320607497274
"NiWUE_FLT_656","NiWUE_Rothamsted_081_1981_grain","15940","C",-25.7225714285714,43.2384569156054,5151,"15940","N",157.931857142857,1.96265212031507,2178,22.0306270622551
"NiWUE_FLT_658","NiWUE_Rothamsted_091_1981_grain","15942","C",-25.9855714285714,43.6198063137804,5328,"15942","N",42.0078571428571,2.164922690078,2490,20.1484360220774
"NiWUE_FLT_659","NiWUE_Rothamsted_091_1981_straw","15948","C",-27.4715714285714,45.3221474851962,5488,"15948","N",46.7628571428571,0.626218662829882,714,72.3743161540179
"NiWUE_FLT_660","NiWUE_Rothamsted_031_1982_grain","15949","C",-25.2575714285714,43.4430000520344,5272,"15949","N",1.95285714285714,1.64577494534197,1873,26.3966833223405
"NiWUE_FLT_662","NiWUE_Rothamsted_061_1982_grain","15951","C",-25.4525714285714,43.0019532247707,5223,"15951","N",17.3888571428571,1.68760634618627,1916,25.4810331342664
"NiWUE_FLT_663","NiWUE_Rothamsted_061_1982_straw","15952","C",-26.6085714285714,44.7510136100779,5336,"15952","N",49.6468571428571,0.463224291735253,517,96.6076572591632
"NiWUE_FLT_664","NiWUE_Rothamsted_071_1982_grain","15953","C",-25.4965714285714,43.3986791353488,5212,"15953","N",19.2208571428571,2.00924886630703,2256,21.5994543349501
"NiWUE_FLT_665","NiWUE_Rothamsted_071_1982_straw","15954","C",-26.4795714285714,45.2840152887314,5464,"15954","N",24.5278571428571,0.469248721184133,532,96.503225782819
"NiWUE_FLT_666","NiWUE_Rothamsted_081_1982_grain","16021","C",-25.4998,44.0317270043398,5472,"16021","N",39.8222,2.39788524210049,2828,18.3627332247848
"NiWUE_FLT_667","NiWUE_Rothamsted_081_1982_straw","16022","C",-26.4758,45.1690427445066,5468,"16022","N",27.0862,0.554449606163602,634,81.4664529334675
"NiWUE_FLT_668","NiWUE_Rothamsted_091_1982_grain","16024","C",-25.6698,43.1914920314012,5237,"16024","N",43.6022,2.39731142919705,2724,18.0166379325475
"NiWUE_FLT_669","NiWUE_Rothamsted_091_1982_straw","16025","C",-26.4228,45.4800583257612,5557,"16025","N",45.3192,0.603655428961504,700,75.3410905357096
"NiWUE_FLT_670","NiWUE_Rothamsted_031_1983_grain","16026","C",-25.2848,42.8224283881506,5183,"16026","N",1.6992,1.71308120149756,1934,24.9973138171826
"NiWUE_FLT_672","NiWUE_Rothamsted_061_1983_grain","16028","C",-25.7478,43.1162332234132,5264,"16028","N",25.2102,1.48925623155081,1706,28.9515211083018
"NiWUE_FLT_674","NiWUE_Rothamsted_071_1983_grain","16030","C",-25.6878,43.2695323469122,5355,"16030","N",31.6942,1.64172302661111,1919,26.3561707093982
"NiWUE_FLT_676","NiWUE_Rothamsted_081_1983_grain","16037","C",-25.3198,43.0375045266716,5097,"16037","N",39.0662,2.07305206821644,2283,20.760455169705
"NiWUE_FLT_678","NiWUE_Rothamsted_091_1983_grain","16039","C",-25.1418,42.900419918744,5299,"16039","N",31.7292,2.18729092976598,2545,19.6134950933728
"NiWUE_FLT_680","NiWUE_Rothamsted_031_1984_grain","16041","C",-25.4138,42.9972802044697,5133,"16041","N",1.3342,1.37529110316134,1533,31.2641302671363
"NiWUE_FLT_682","NiWUE_Rothamsted_061_1984_grain","16044","C",-25.1578,43.464978375209,5382,"16044","N",23.1712,1.39876821322658,1631,31.0737532953704
"NiWUE_FLT_683","NiWUE_Rothamsted_061_1984_straw","16045","C",-27.0298,43.6298342800499,5368,"16045","N",21.6182,0.43814270372956,508,99.5790501785466
"NiWUE_FLT_684","NiWUE_Rothamsted_071_1984_grain","16046","C",-24.9938,42.9512509730977,5176,"16046","N",12.6382,1.80242419636819,2026,23.8297128165737
"NiWUE_FLT_686","NiWUE_Rothamsted_081_1984_grain","16048","C",-25.1658,43.384775624009,5138,"16048","N",23.1502,2.28132630274896,2529,19.0173477471114
"NiWUE_FLT_687","NiWUE_Rothamsted_081_1984_straw","16049","C",-27.1738,44.7818190586506,5268,"16049","N",21.3262,0.46517260917813,513,96.2692518327152
"NiWUE_FLT_688","NiWUE_Rothamsted_091_1984_grain","16050","C",-24.9078,42.2047101536127,5184,"16050","N",24.3152,2.43937521134391,2812,17.3014425814228
"NiWUE_FLT_689","NiWUE_Rothamsted_091_1984_straw","16053","C",-27.4192,44.6794604751991,5259,"16053","N",30.7448,0.577323846702497,646,77.3906373873086
"NiWUE_FLT_690","NiWUE_Rothamsted_031_1985_grain","16054","C",-24.9162,43.125489643096,5154,"16054","N",1.3418,1.3347516066242,1510,32.3097491915872
"NiWUE_FLT_692","NiWUE_Rothamsted_061_1985_grain","16057","C",-25.8152,43.4118138342734,5116,"16057","N",14.4558,1.24789029619941,1391,34.7881652469684
"NiWUE_FLT_693","NiWUE_Rothamsted_061_1985_straw","16058","C",-27.3092,42.5667353838444,5152,"16058","N",17.5058,0.510082664904594,582,83.4506606724345
"NiWUE_FLT_694","NiWUE_Rothamsted_071_1985_grain","16059","C",-26.2182,43.272532206011,5103,"16059","N",16.5568,1.39921267686341,1562,30.9263437371182
"NiWUE_FLT_696","NiWUE_Rothamsted_081_1985_grain","16061","C",-26.2812,43.6905129051165,5136,"16061","N",21.8838,1.68384035628065,1872,25.9469448764266
"NiWUE_FLT_697","NiWUE_Rothamsted_081_1985_straw","16062","C",-27.0042,44.9051636280368,5233,"16062","N",23.2288,0.539124886462473,597,83.292692946688
"NiWUE_FLT_698","NiWUE_Rothamsted_091_1985_grain","16068","C",-25.7842,43.4034300723474,4991,"16068","N",20.2788,1.83357141671154,1989,23.6715241504966
"NiWUE_FLT_699","NiWUE_Rothamsted_091_1985_straw","16069","C",-26.8622,44.2707440836371,5183,"16069","N",16.9318,0.800692236444379,890,55.2905874050053
"NiWUE_FLT_700","NiWUE_Rothamsted_031_1986_grain","16070","C",-25.4602,43.1073768219869,5239,"16070","N",0.6548,1.44819819589491,1682,29.7662135916065
"NiWUE_FLT_701","NiWUE_Rothamsted_031_1986_straw","16071","C",-26.4942,43.4039070659079,5045,"16071","N",0.6148,0.607414558524401,665,71.4568106028764
