"massspectroscopy_ID","UID","Analysis","atom","delta","percentage","amplitude"
"NiWUE_FLT_844","NiWUE_Rothamsted_071_2000_grain","16287","N",5.82785714285714,1.76924141166088,1936
"NiWUE_FLT_846","NiWUE_Rothamsted_081_2000_grain","16289","N",5.74185714285714,1.8839298992571,2191
"NiWUE_FLT_848","NiWUE_Rothamsted_091_2000_grain","16291","N",7.03285714285714,2.23040132352407,2511
"NiWUE_FLT_850","NiWUE_Rothamsted_031_2001_grain","16295","N",1.53985714285714,1.96533812664006,2231
"NiWUE_FLT_852","NiWUE_Rothamsted_061_2001_grain","16297","N",6.60285714285714,1.65154825981213,1851
"NiWUE_FLT_854","NiWUE_Rothamsted_071_2001_grain","16299","N",7.70285714285714,1.9564614993913,2225
"NiWUE_FLT_856","NiWUE_Rothamsted_081_2001_grain","16301","N",7.68085714285714,1.97963168370427,2138
"NiWUE_FLT_858","NiWUE_Rothamsted_091_2001_grain","16308","N",8.59985714285714,2.34395266861563,2681
"NiWUE_FLT_860","NiWUE_Rothamsted_031_2002_grain","16310","N",0.629857142857143,1.37317275643083,1586
"NiWUE_FLT_862","NiWUE_Rothamsted_061_2002_grain","16312","N",5.55085714285714,1.51804876734578,1632
"NiWUE_FLT_864","NiWUE_Rothamsted_071_2002_grain","16316","N",6.0712,1.71791520490789,1847
"NiWUE_FLT_866","NiWUE_Rothamsted_081_2002_grain","16319","N",5.8212,2.03353532986555,2272
"NiWUE_FLT_868","NiWUE_Rothamsted_091_2002_grain","16321","N",5.8972,2.053311203781,2330
"NiWUE_FLT_870","NiWUE_Rothamsted_031_2003_grain","16323","N",1.1432,1.34122962738136,1467
"NiWUE_FLT_872","NiWUE_Rothamsted_061_2003_grain","16325","N",4.8312,1.50623778601032,1626
"NiWUE_FLT_874","NiWUE_Rothamsted_071_2003_grain","16332","N",4.2102,1.68464029948046,1918
"NiWUE_FLT_876","NiWUE_Rothamsted_081_2003_grain","16334","N",4.9072,2.09471693761011,2294
"NiWUE_FLT_879","NiWUE_Rothamsted_091_2003_straw","16338","N",4.4592,2.54483712377993,2722
"NiWUE_FLT_880","NiWUE_Rothamsted_031_2004_grain","16339","N",0.9202,1.36865029034584,1548
"NiWUE_FLT_882","NiWUE_Rothamsted_061_2004_grain","16341","N",5.8122,1.50892722310704,1606
"NiWUE_FLT_884","NiWUE_Rothamsted_071_2004_grain","16343","N",4.4212,2.11300275682626,2277
"NiWUE_FLT_886","NiWUE_Rothamsted_081_2004_grain","16345","N",5.7602,2.30803724026613,2597
"NiWUE_FLT_888","NiWUE_Rothamsted_091_2004_grain","16349","N",4.6458,2.48596645852414,2745
"NiWUE_FLT_890","NiWUE_Rothamsted_031_2005_grain","16352","N",0.7418,1.48431915923174,1625
"NiWUE_FLT_892","NiWUE_Rothamsted_061_2005_grain","16354","N",4.3828,1.23586313232808,1376
"NiWUE_FLT_894","NiWUE_Rothamsted_071_2005_grain","16356","N",6.1358,1.66814069884491,1831
"NiWUE_FLT_896","NiWUE_Rothamsted_081_2005_grain","16363","N",8.1898,1.82484332821225,1969
"NiWUE_FLT_898","NiWUE_Rothamsted_091_2005_grain","16365","N",8.5508,1.99166415064679,2170
"NiWUE_FLT_900","NiWUE_Rothamsted_031_2006_grain","16367","N",0.6838,1.53561547638019,1767
"NiWUE_FLT_902","NiWUE_Rothamsted_061_2006_grain","16369","N",5.2728,1.41146896748423,1624
"NiWUE_FLT_904","NiWUE_Rothamsted_071_2006_grain","16372","N",5.1218,1.56530261651018,1666
"NiWUE_FLT_906","NiWUE_Rothamsted_081_2006_grain","16374","N",4.9648,1.83243216189338,1978
"NiWUE_FLT_908","NiWUE_Rothamsted_091_2006_grain","16376","N",6.1478,1.98371981371685,2154
