"massspectroscopy_ID","UID","Analysis","atom","delta","percentage","amplitude"
"NiWUE_FLT_311","NiWUE_TU_Berlin_106_2021_straw","17598","N",-1.0422,0.868983091044684,903
"NiWUE_FLT_313","NiWUE_TU_Berlin_114_2021_straw","17600","N",-1.3482,0.745232894423574,808
"NiWUE_FLT_325","NiWUE_TU_Berlin_164_2021_straw","17618","N",0.0478000000000001,0.897212606663122,982
"NiWUE_FLT_328","NiWUE_TU_Berlin_173_2021_straw","17623","N",-0.7704,0.881694992284248,929
"NiWUE_FLT_329","NiWUE_TU_Berlin_180_2021_straw","17624","N",-0.5884,0.952050104026681,1016
"NiWUE_FLT_331","NiWUE_TU_Berlin_188_2021_straw","17627","N",-0.7884,0.840960087010152,923
