"massspectroscopy_ID","UID","Analysis_C","atom_C","delta_C","percentage_C","amplitude_C","Analysis_N","atom_N","delta_N","percentage_N","amplitude_N","C_N_ratio"
"NiWUE_FLT_113","NiWUE_AS_1a_1993-1996_grain","14800","C",-25.6347142857143,42.0896409985267,4909,"14800","N",-0.927,1.62058204134346,1747,25.9719285569982
"NiWUE_FLT_114","NiWUE_AS_8p_1993-1996_grain","14801","C",-25.9197142857143,42.0092640141861,4692,"14801","N",-1.2,1.5087163366066,1548,27.8443753771986
"NiWUE_FLT_115","NiWUE_AS_9k_1993-1996_grain","14802","C",-26.0177142857143,41.948538443305,4950,"14802","N",-0.512,1.66971562465662,1833,25.1231633841432
"NiWUE_FLT_116","NiWUE_AS_10r_1993-1996_grain","14803","C",-26.1197142857143,42.293285794265,4811,"14803","N",-1.084,1.91800312247153,2014,22.0506866223273
"NiWUE_FLT_117","NiWUE_AS_1a_1997-2000_grain","14804","C",-26.5437142857143,41.6939328887075,4707,"14804","N",-1.073,1.50150970706549,1550,27.7680075543387
"NiWUE_FLT_118","NiWUE_AS_8p_1997-2000_grain","14805","C",-26.8257142857143,41.6153488087837,4707,"14805","N",-0.708,1.37495476469105,1423,30.2667039509003
"NiWUE_FLT_119","NiWUE_AS_9k_1997-2000_grain","14808","C",-27.0957142857143,41.89760343729,4734,"14808","N",-0.379,1.47220957370604,1528,28.4589940084549
"NiWUE_FLT_120","NiWUE_AS_10r_1997-2000_grain","14809","C",-27.2137142857143,42.3148460368487,4891,"14809","N",-0.287,1.72065335531385,1845,24.5923130920988
"NiWUE_FLT_121","NiWUE_AS_1a_2001-2004_grain","14810","C",-26.8947142857143,42.123840634263,4898,"14810","N",-1.419,1.4983749208679,1611,28.1130176750847
"NiWUE_FLT_122","NiWUE_AS_8p_2001-2004_grain","14811","C",-27.1847142857143,42.0621129618109,4856,"14811","N",-1.15,1.44198870602927,1544,29.1695162284837
"NiWUE_FLT_123","NiWUE_AS_9k_2001-2004_grain","14812","C",-27.3487142857143,42.0142140018363,4882,"14812","N",-0.756,1.53563044180987,1653,27.3595865632353
"NiWUE_FLT_124","NiWUE_AS_10r_2001-2004_grain","14813","C",-27.3267142857143,42.4566969897659,4945,"14813","N",-0.626,1.82308575230863,1968,23.2883707944081
"NiWUE_FLT_125","NiWUE_AS_1a_2005-2008_grain","14814","C",-26.2577142857143,42.0263826255607,4760,"14814","N",-1.559,1.36380843239122,1423,30.8154588484793
"NiWUE_FLT_126","NiWUE_AS_8p_2005-2008_grain","14820","C",-25.9777142857143,42.0363437981251,4889,"14820","N",-1.332,1.51386908113217,1645,27.7674894890433
"NiWUE_FLT_127","NiWUE_AS_9k_2005-2008_grain","14821","C",-26.1587142857143,42.2351173160948,4902,"14821","N",-1.215,1.83490386136451,1986,23.017618636808
"NiWUE_FLT_128","NiWUE_AS_10r_2005-2008_grain","14822","C",-25.9677142857143,42.4046213785029,4771,"14822","N",-1.38,2.05442980857092,2138,20.6405792992266
"NiWUE_FLT_129","NiWUE_AS_1a_2009-2012_grain","14823","C",-27.2747142857143,41.8055020619532,4880,"14823","N",-1.145,1.35848601422971,1481,30.7735976845207
"NiWUE_FLT_130","NiWUE_AS_8p_2009-2012_grain","14824","C",-27.7487142857143,41.9500969622008,4938,"14824","N",-1.018,1.30768494815185,1451,32.0796664529087
"NiWUE_FLT_131","NiWUE_AS_9k_2009-2012_grain","14825","C",-27.8157142857143,42.0265669517607,4895,"14825","N",-0.946,1.5338611570863,1666,27.3991989154962
"NiWUE_FLT_132","NiWUE_AS_10r_2009-2012_grain","14826","C",-28.0767142857143,42.0183083693774,4746,"14826","N",-0.524,1.7632412097038,1846,23.8301533211306
"NiWUE_FLT_133","NiWUE_AS_1a_2013-2016_grain","14829","C",-27.7266,41.5932633424462,4783,"14829","N",-1.058,1.14900270640194,1209,36.1994476694437
"NiWUE_FLT_134","NiWUE_AS_8p_2013-2016_grain","14830","C",-28.0066,41.5217741222868,4920,"14830","N",-0.661,1.13591266867094,1237,36.5536676079764
"NiWUE_FLT_135","NiWUE_AS_9k_2013-2016_grain","14832","C",-28.3596,41.1664554884934,4880,"14832","N",-0.418,1.3196699836122,1437,31.1945077176133
"NiWUE_FLT_136","NiWUE_AS_10r_2013-2016_grain","14833","C",-28.3246,41.7566881568315,4921,"14833","N",-0.205,1.68151339448594,1826,24.8328013881787
"NiWUE_FLT_137","NiWUE_AS_1a_2020_grain","14834","C",-26.8696,41.9633403364022,4900,"14834","N",-1.835,1.43951975397797,1548,29.1509305241841
"NiWUE_FLT_138","NiWUE_AS_8p_2020_grain","14835","C",-26.9316,41.9456623754128,4858,"14835","N",-1.592,1.3861058493361,1473,30.2615145845487
"NiWUE_FLT_139","NiWUE_AS_9k_2020_grain","14836","C",-26.9426,41.962033087823,4735,"14836","N",-1.302,1.68086123457738,1732,24.9646028027849
"NiWUE_FLT_140","NiWUE_AS_10r_2020_grain","14837","C",-27.1166,42.0956275174812,4873,"14837","N",-1.425,1.8446876686026,1961,22.8199213525234
"NiWUE_FLT_161","NiWUE_AS_1a_1985-1988_grain","14838","C",-25.2276,42.2289545472092,4900,"14838","N",-0.456,1.8515674878045,1978,22.8071376416759
"NiWUE_FLT_162","NiWUE_AS_8p_1985-1988_grain","14844","C",-25.2056,42.0553001544811,4852,"14844","N",-0.944,1.67004193845264,1766,25.1821820675037
"NiWUE_FLT_163","NiWUE_AS_9k_1985-1988_grain","14845","C",-25.6876,42.321184683855,4828,"14845","N",-0.665,1.84884440567037,1926,22.8906145666216
"NiWUE_FLT_164","NiWUE_AS_10r_1985-1988_grain","14846","C",-25.4016,42.4803399768023,4832,"14846","N",-0.571,2.05698336511261,2142,20.6517664154647
"NiWUE_FLT_165","NiWUE_TU_Berlin_1_2019_grain","14847","C",-27.5996,40.8563409165232,4644,"14847","N",0.839,1.78551974135481,1843,22.8820437938829
"NiWUE_FLT_166","NiWUE_TU_Berlin_2_2019_grain","14848","C",-27.4386,40.7468360828919,4797,"14848","N",0.739,1.81388567998013,1950,22.463839112142
"NiWUE_FLT_167","NiWUE_TU_Berlin_3_2019_grain","14849","C",-28.2446,40.822810439858,4711,"14849","N",0.187,1.89465232820622,1994,21.5463332412588
"NiWUE_FLT_168","NiWUE_TU_Berlin_4_2019_grain","14851","C",-27.3286,40.8892668328206,4852,"14851","N",0.217,1.79503308420861,1958,22.7791159909723
