"massspectroscopy_ID","UID","Analysis","atom","delta","percentage","amplitude"
"NiWUE_FLT_910","NiWUE_Rothamsted_031_2007_grain","16383","C",-25.126,43.5518171140716,5267
"NiWUE_FLT_911","NiWUE_Rothamsted_031_2007_straw","16384","C",-27.365,43.5198084663617,5104
"NiWUE_FLT_912","NiWUE_Rothamsted_061_2007_grain","16385","C",-25.633,43.3932941794468,5362
"NiWUE_FLT_913","NiWUE_Rothamsted_061_2007_straw","16386","C",-27.154,44.1747929262486,5172
"NiWUE_FLT_914","NiWUE_Rothamsted_071_2007_grain","16387","C",-25.691,43.41843425568,5267
"NiWUE_FLT_915","NiWUE_Rothamsted_071_2007_straw","16388","C",-27.13,44.9482391530495,5302
"NiWUE_FLT_916","NiWUE_Rothamsted_081_2007_grain","16391","C",-25.6,43.0713012296782,5243
"NiWUE_FLT_917","NiWUE_Rothamsted_081_2007_straw","16392","C",-26.931,44.7135339698449,5204
"NiWUE_FLT_918","NiWUE_Rothamsted_091_2007_grain","16393","C",-25.914,43.7846502235402,5199
"NiWUE_FLT_919","NiWUE_Rothamsted_091_2007_straw","16394","C",-27.171,45.2865999048109,5455
"NiWUE_FLT_920","NiWUE_Rothamsted_031_2008_grain","16395","C",-25.122,43.8641499542156,5251
"NiWUE_FLT_921","NiWUE_Rothamsted_031_2008_straw","16396","C",-26.189,44.5243106712684,5323
"NiWUE_FLT_922","NiWUE_Rothamsted_061_2008_grain","16397","C",-25.195,43.4061894873864,5129
"NiWUE_FLT_923","NiWUE_Rothamsted_061_2008_straw","16403","C",-26.866,45.4182435361878,5474
"NiWUE_FLT_924","NiWUE_Rothamsted_071_2008_grain","16404","C",-25.552,43.9276366940816,5180
"NiWUE_FLT_925","NiWUE_Rothamsted_071_2008_straw","16405","C",-26.995,45.5897838450777,5524
"NiWUE_FLT_926","NiWUE_Rothamsted_081_2008_grain","16406","C",-25.63,44.0317465839862,5281
"NiWUE_FLT_927","NiWUE_Rothamsted_081_2008_straw","16407","C",-26.911,45.8050651713011,5553
"NiWUE_FLT_928","NiWUE_Rothamsted_091_2008_grain","16408","C",-25.681,44.0053439654982,5345
"NiWUE_FLT_929","NiWUE_Rothamsted_091_2008_straw","16409","C",-26.991,45.4318026795176,5330
"NiWUE_FLT_930","NiWUE_Rothamsted_031_2009_grain","16412","C",-24.7184,43.4948068989625,5240
"NiWUE_FLT_931","NiWUE_Rothamsted_031_2009_straw","16413","C",-25.9294,43.7673411155658,5169
"NiWUE_FLT_932","NiWUE_Rothamsted_061_2009_grain","16415","C",-23.9274,43.8206853502349,5096
"NiWUE_FLT_933","NiWUE_Rothamsted_061_2009_straw","16416","C",-25.7064,45.1069220723523,5480
"NiWUE_FLT_934","NiWUE_Rothamsted_071_2009_grain","16417","C",-23.6714,44.1233118255701,5332
"NiWUE_FLT_935","NiWUE_Rothamsted_071_2009_straw","16418","C",-25.4674,45.8505210543031,5482
"NiWUE_FLT_936","NiWUE_Rothamsted_081_2009_grain","16419","C",-23.4404,44.127808609619,5394
"NiWUE_FLT_937","NiWUE_Rothamsted_081_2009_straw","16420","C",-25.3184,46.0352133782023,5559
"NiWUE_FLT_938","NiWUE_Rothamsted_091_2009_grain","16421","C",-23.6774,44.5615597925653,5125
"NiWUE_FLT_939","NiWUE_Rothamsted_091_2009_straw","16427","C",-25.2494,45.895553238346,5382
"NiWUE_FLT_940","NiWUE_Rothamsted_031_2010_grain","16428","C",-24.4414,42.0943727054055,5079
