"massspectroscopy_ID","UID","Analysis","atom","delta","percentage","amplitude"
"NiWUE_FLT_910","NiWUE_Rothamsted_031_2007_grain","16383","N",3.17257142857143,1.81014696938941,2076
"NiWUE_FLT_912","NiWUE_Rothamsted_061_2007_grain","16385","N",7.15357142857143,1.70008382429851,2003
"NiWUE_FLT_914","NiWUE_Rothamsted_071_2007_grain","16387","N",9.66657142857143,1.80617067830259,2080
"NiWUE_FLT_916","NiWUE_Rothamsted_081_2007_grain","16391","N",10.8375714285714,1.96353596771617,2271
"NiWUE_FLT_918","NiWUE_Rothamsted_091_2007_grain","16393","N",8.50857142857143,2.40582029284052,2705
"NiWUE_FLT_919","NiWUE_Rothamsted_091_2007_straw","16394","N",6.14557142857143,0.703585935106713,812
"NiWUE_FLT_920","NiWUE_Rothamsted_031_2008_grain","16395","N",7.52257142857143,1.85946986642603,2121
"NiWUE_FLT_922","NiWUE_Rothamsted_061_2008_grain","16397","N",6.47657142857143,1.39453524970968,1556
"NiWUE_FLT_924","NiWUE_Rothamsted_071_2008_grain","16404","N",7.42157142857143,1.61331833206645,1800
"NiWUE_FLT_926","NiWUE_Rothamsted_081_2008_grain","16406","N",7.72357142857143,1.78574356101486,2037
"NiWUE_FLT_928","NiWUE_Rothamsted_091_2008_grain","16408","N",7.82357142857143,2.04310477089963,2370
"NiWUE_FLT_930","NiWUE_Rothamsted_031_2009_grain","16412","N",3.8912,1.75742047568961,1992
"NiWUE_FLT_932","NiWUE_Rothamsted_061_2009_grain","16415","N",6.1002,2.07617980259423,2251
"NiWUE_FLT_934","NiWUE_Rothamsted_071_2009_grain","16417","N",5.0902,2.48440660393321,2844
"NiWUE_FLT_936","NiWUE_Rothamsted_081_2009_grain","16419","N",4.5142,2.68471638045734,3113
"NiWUE_FLT_938","NiWUE_Rothamsted_091_2009_grain","16421","N",3.6002,2.81648733978178,3033
"NiWUE_FLT_940","NiWUE_Rothamsted_031_2010_grain","16428","N",2.2062,1.59667645094122,1792
"NiWUE_FLT_942","NiWUE_Rothamsted_061_2010_grain","16430","N",5.8392,1.67414440144708,1855
"NiWUE_FLT_944","NiWUE_Rothamsted_071_2010_grain","16432","N",6.0932,1.81370226215433,1972
"NiWUE_FLT_946","NiWUE_Rothamsted_081_2010_grain","16435","N",6.3622,1.98751959106185,2171
"NiWUE_FLT_948","NiWUE_Rothamsted_091_2010_grain","16437","N",4.6352,2.24037354236222,2463
"NiWUE_FLT_950","NiWUE_Rothamsted_031_2011_grain","16439","N",2.7302,1.83626443152882,1970
"NiWUE_FLT_952","NiWUE_Rothamsted_061_2011_grain","16441","N",7.2442,2.2571440737694,2596
"NiWUE_FLT_954","NiWUE_Rothamsted_071_2011_grain","16445","N",5.9344,2.43780107073723,2631
"NiWUE_FLT_956","NiWUE_Rothamsted_081_2011_grain","16448","N",5.3864,2.58085797789187,2866
"NiWUE_FLT_958","NiWUE_Rothamsted_091_2011_grain","16450","N",5.7974,2.77996950635412,3014
"NiWUE_FLT_960","NiWUE_Rothamsted_031_2012_grain","16452","N",2.8274,1.71869177086333,1889
"NiWUE_FLT_962","NiWUE_Rothamsted_061_2012_grain","16459","N",5.0854,1.4273593744589,1562
"NiWUE_FLT_964","NiWUE_Rothamsted_071_2012_grain","16461","N",5.7524,1.50432345177384,1734
"NiWUE_FLT_966","NiWUE_Rothamsted_081_2012_grain","16463","N",6.5224,1.65058611583106,1878
"NiWUE_FLT_968","NiWUE_Rothamsted_091_2012_grain","16465","N",6.9024,1.97946677225585,2301
"NiWUE_FLT_970","NiWUE_Rothamsted_031_2013_grain","16468","N",3.4444,1.82542397896073,2007
"NiWUE_FLT_972","NiWUE_Rothamsted_061_2013_grain","16470","N",5.7034,1.68455523869517,1832
"NiWUE_FLT_974","NiWUE_Rothamsted_071_2013_grain","16472","N",5.1014,1.76259968547932,1906
