"massspectroscopy_ID","UID","Analysis","atom","delta","percentage","amplitude"
"NiWUE_FLT_712","NiWUE_Rothamsted_061_1987_grain","16095","C",-25.3902857142857,44.1377416582649,5393
"NiWUE_FLT_713","NiWUE_Rothamsted_061_1987_straw","16096","C",-27.5322857142857,43.0837061620578,5315
"NiWUE_FLT_714","NiWUE_Rothamsted_071_1987_grain","16097","C",-25.2152857142857,44.3156587588034,5249
"NiWUE_FLT_715","NiWUE_Rothamsted_071_1987_straw","16098","C",-27.3252857142857,45.8330537741497,5453
"NiWUE_FLT_716","NiWUE_Rothamsted_081_1987_grain","16099","C",-25.9022857142857,43.7938152223164,5128
"NiWUE_FLT_717","NiWUE_Rothamsted_081_1987_straw","16100","C",-27.3022857142857,45.4608288743865,5532
"NiWUE_FLT_718","NiWUE_Rothamsted_091_1987_grain","16103","C",-25.7212857142857,44.0777955375204,5332
"NiWUE_FLT_719","NiWUE_Rothamsted_091_1987_straw","16104","C",-27.4162857142857,45.2765460854182,5431
"NiWUE_FLT_720","NiWUE_Rothamsted_031_1988_grain","16105","C",-24.9062857142857,44.2388988541086,5240
"NiWUE_FLT_721","NiWUE_Rothamsted_031_1988_straw","16106","C",-26.4272857142857,44.1795485738575,5290
"NiWUE_FLT_722","NiWUE_Rothamsted_061_1988_grain","16107","C",-25.0402857142857,44.0294167293651,5304
"NiWUE_FLT_723","NiWUE_Rothamsted_061_1988_straw","16108","C",-26.5432857142857,44.6568730730373,5358
"NiWUE_FLT_724","NiWUE_Rothamsted_071_1988_grain","16109","C",-25.3952857142857,43.8116010076023,5151
"NiWUE_FLT_725","NiWUE_Rothamsted_071_1988_straw","16115","C",-26.7832857142857,45.4640570454269,5469
"NiWUE_FLT_726","NiWUE_Rothamsted_081_1988_grain","16116","C",-25.5462857142857,43.7330508514092,5244
"NiWUE_FLT_727","NiWUE_Rothamsted_081_1988_straw","16117","C",-26.4342857142857,45.8574022625853,5299
"NiWUE_FLT_728","NiWUE_Rothamsted_091_1988_grain","16118","C",-25.6582857142857,43.8274690880246,5406
"NiWUE_FLT_729","NiWUE_Rothamsted_091_1988_straw","16119","C",-26.6832857142857,46.0197464744006,5464
"NiWUE_FLT_730","NiWUE_Rothamsted_031_1989_grain","16120","C",-24.4782857142857,43.4161397322849,5060
"NiWUE_FLT_731","NiWUE_Rothamsted_031_1989_straw","16121","C",-26.3562857142857,44.8432956484181,5314
"NiWUE_FLT_732","NiWUE_Rothamsted_061_1989_grain","16124","C",-24.3148,44.0226324340646,5417
"NiWUE_FLT_733","NiWUE_Rothamsted_061_1989_straw","16125","C",-25.8398,44.4227895931844,5240
"NiWUE_FLT_734","NiWUE_Rothamsted_071_1989_grain","16127","C",-23.9858,43.8419687896108,5157
"NiWUE_FLT_735","NiWUE_Rothamsted_071_1989_straw","16128","C",-25.1358,46.0147578923703,5453
"NiWUE_FLT_736","NiWUE_Rothamsted_081_1989_grain","16129","C",-23.8228,44.3922783368641,5421
"NiWUE_FLT_737","NiWUE_Rothamsted_081_1989_straw","16130","C",-25.1898,46.0232385160453,5244
"NiWUE_FLT_738","NiWUE_Rothamsted_091_1989_grain","16131","C",-23.6978,43.8944348471472,5339
"NiWUE_FLT_739","NiWUE_Rothamsted_091_1989_straw","16132","C",-25.0158,45.0246444985586,5298
"NiWUE_FLT_740","NiWUE_Rothamsted_031_1990_grain","16133","C",-25.2418,44.0161373865263,5100
"NiWUE_FLT_741","NiWUE_Rothamsted_031_1990_straw","16139","C",-26.1908,44.7118368335486,5437
"NiWUE_FLT_742","NiWUE_Rothamsted_061_1990_grain","16140","C",-24.0278,44.0156276813344,5322
"NiWUE_FLT_743","NiWUE_Rothamsted_061_1990_straw","16141","C",-25.0168,45.3140208067493,5339
"NiWUE_FLT_744","NiWUE_Rothamsted_071_1990_grain","16142","C",-24.2878,43.5972971055129,5054
"NiWUE_FLT_745","NiWUE_Rothamsted_071_1990_straw","16143","C",-25.1938,45.5525375647409,5407
"NiWUE_FLT_746","NiWUE_Rothamsted_081_1990_grain","16144","C",-24.4158,44.0478068370808,5125
"NiWUE_FLT_747","NiWUE_Rothamsted_081_1990_straw","16146","C",-25.0378,45.7009376924297,5283
"NiWUE_FLT_748","NiWUE_Rothamsted_091_1990_grain","16147","C",-24.3448,44.0293665886824,5346
"NiWUE_FLT_749","NiWUE_Rothamsted_091_1990_straw","16148","C",-24.7928,45.5086952415871,5483
"NiWUE_FLT_750","NiWUE_Rothamsted_031_1991_grain","16149","C",-27.1198,43.8545196305055,5129
"NiWUE_FLT_751","NiWUE_Rothamsted_031_1991_straw","16150","C",-28.8328,41.5798359255851,5076
"NiWUE_FLT_752","NiWUE_Rothamsted_061_1991_grain","16151","C",-27.1518,44.099667650753,5404
"NiWUE_FLT_753","NiWUE_Rothamsted_061_1991_straw","16152","C",-28.7208,44.2203186808268,5223
"NiWUE_FLT_754","NiWUE_Rothamsted_071_1991_grain","16153","C",-27.4498,43.7324696403536,5127
"NiWUE_FLT_755","NiWUE_Rothamsted_071_1991_straw","16156","C",-28.8858,45.4095970570894,5501
"NiWUE_FLT_756","NiWUE_Rothamsted_081_1991_grain","16157","C",-27.9638,44.2264710076241,5070
"NiWUE_FLT_757","NiWUE_Rothamsted_081_1991_straw","16159","C",-28.9618,45.5822802270816,5538
"NiWUE_FLT_758","NiWUE_Rothamsted_091_1991_grain","16160","C",-27.4368,43.9113041028028,5265
"NiWUE_FLT_759","NiWUE_Rothamsted_091_1991_straw","16161","C",-28.5958,45.2321190933412,5331
"NiWUE_FLT_760","NiWUE_Rothamsted_031_1992_grain","16162","C",-26.5108,43.608080057682,5050
"NiWUE_FLT_761","NiWUE_Rothamsted_031_1992_straw","16163","C",-28.5708,44.4815880738095,5299
"NiWUE_FLT_762","NiWUE_Rothamsted_061_1992_grain","16164","C",-26.1558,43.6239351475415,5249
"NiWUE_FLT_763","NiWUE_Rothamsted_061_1992_straw","16165","C",-27.7518,45.6956877164164,5368
"NiWUE_FLT_764","NiWUE_Rothamsted_071_1992_grain","16171","C",-25.9078,43.617037959862,5251
"NiWUE_FLT_765","NiWUE_Rothamsted_071_1992_straw","16172","C",-27.0278,45.5814897388937,5232
"NiWUE_FLT_766","NiWUE_Rothamsted_081_1992_grain","16173","C",-26.1508,44.0756968589,5369
"NiWUE_FLT_767","NiWUE_Rothamsted_081_1992_straw","16174","C",-27.5398,46.2779371060602,5543
"NiWUE_FLT_768","NiWUE_Rothamsted_091_1992_grain","16175","C",-26.4148,43.5181656864655,5296
"NiWUE_FLT_769","NiWUE_Rothamsted_091_1992_straw","16176","C",-27.0588,45.5022164578131,5521
"NiWUE_FLT_770","NiWUE_Rothamsted_031_1993_grain","16177","C",-26.1308,43.8460300091014,5157
"NiWUE_FLT_771","NiWUE_Rothamsted_031_1993_straw","16179","C",-28.3688,44.8941486352107,5306
"NiWUE_FLT_772","NiWUE_Rothamsted_061_1993_grain","16180","C",-25.8768,43.6685335019619,5290
"NiWUE_FLT_773","NiWUE_Rothamsted_061_1993_straw","16181","C",-27.6568,45.6163436859969,5534
"NiWUE_FLT_774","NiWUE_Rothamsted_071_1993_grain","16182","C",-25.7518,43.6691893445049,5264
"NiWUE_FLT_775","NiWUE_Rothamsted_071_1993_straw","16183","C",-27.7028,46.2921099106129,5590
"NiWUE_FLT_776","NiWUE_Rothamsted_081_1993_grain","16184","C",-25.7508,44.0711973404932,5260
"NiWUE_FLT_777","NiWUE_Rothamsted_081_1993_straw","16185","C",-27.7338,46.3013362355483,5520
