"massspectroscopy_ID","UID","Analysis_C","atom_C","delta_C","percentage_C","amplitude_C","Analysis_N","atom_N","delta_N","percentage_N","amplitude_N","C_N_ratio"
"NiWUE_FLT_1000","NiWUE_Rothamsted_031_2016_grain","16537","C",-24.78,43.7327122554809,5579,"16537","N",3.2602,1.38265905639975,1546,31.6294259622866
"NiWUE_FLT_1002","NiWUE_Rothamsted_061_2016_grain","16539","C",-25.343,43.6356804653903,5424,"16539","N",2.9832,1.24487983611974,1347,35.0521224613948
"NiWUE_FLT_1004","NiWUE_Rothamsted_071_2016_grain","16541","C",-25.727,43.7872911118524,5689,"16541","N",3.6962,1.52367695010287,1728,28.737910033289
"NiWUE_FLT_1006","NiWUE_Rothamsted_081_2016_grain","16548","C",-26.224,43.5539959086427,5452,"16548","N",3.7312,1.63592702472377,1781,26.6234344505659
"NiWUE_FLT_1008","NiWUE_Rothamsted_091_2016_grain","16550","C",-26.377,43.3309753111432,5507,"16550","N",3.5422,1.9200429410358,2144,22.567711578246
"NiWUE_FLT_1009","NiWUE_Rothamsted_091_2016_straw","16551","C",-27.016,45.7161206077064,5908,"16551","N",1.5862,0.515669831577589,586,88.6538591327847
"NiWUE_FLT_1010","NiWUE_Rothamsted_031_2017_grain","16552","C",-24.786,43.502254932747,5564,"16552","N",2.7412,1.576737932152,1762,27.5900351261121
"NiWUE_FLT_1012","NiWUE_Rothamsted_061_2017_grain","16555","C",-24.818,43.8034665709822,5705,"16555","N",4.7332,1.80038303466423,2067,24.3300818368084
"NiWUE_FLT_1014","NiWUE_Rothamsted_071_2017_grain","16557","C",-24.702,44.0189550023691,5707,"16557","N",4.9722,2.25648134678466,2583,19.5077859008643
"NiWUE_FLT_1015","NiWUE_Rothamsted_071_2017_straw","16558","C",-26.664,46.4672482079664,5983,"16558","N",2.6582,0.47479406289334,545,97.8682166428122
"NiWUE_FLT_1016","NiWUE_Rothamsted_081_2017_grain","16559","C",-24.635,44.0281638218587,5715,"16559","N",4.4762,2.50040855434928,2873,17.6083879353535
"NiWUE_FLT_1017","NiWUE_Rothamsted_081_2017_straw","16560","C",-26.931,46.4502261694545,5839,"16560","N",2.7542,0.452336005311756,503,102.689650224595
"NiWUE_FLT_1018","NiWUE_Rothamsted_091_2017_grain","16561","C",-24.653,44.3202843800261,5674,"16561","N",3.3492,2.6328826574273,2964,16.8333686482379
"NiWUE_FLT_1019","NiWUE_Rothamsted_091_2017_straw","16564","C",-26.3472,46.5127148830182,5988,"16564","N",1.1666,0.465084246848937,539,100.009224561256
"NiWUE_FLT_1020","NiWUE_Rothamsted_031_2018_grain","16565","C",-25.2512,43.7736633672092,5404,"16565","N",2.0846,1.74228236997613,1880,25.1243220510858
"NiWUE_FLT_1022","NiWUE_Rothamsted_061_2018_grain","16568","C",-25.4562,44.0347844651161,5487,"16568","N",3.8776,1.87463145491393,2072,23.4898354818963
"NiWUE_FLT_1024","NiWUE_Rothamsted_071_2018_grain","16570","C",-25.3772,43.8316926546517,5454,"16570","N",3.7526,1.80355507323937,1979,24.3029410662384
"NiWUE_FLT_1026","NiWUE_Rothamsted_081_2018_grain","16572","C",-25.5242,44.1722114925694,5423,"16572","N",5.5006,2.20268323881748,2387,20.0538192301692
