"massspectroscopy_ID","UID","Analysis_C","atom_C","delta_C","percentage_C","amplitude_C","Analysis_N","atom_N","delta_N","percentage_N","amplitude_N","C_N_ratio"
"NiWUE_FLT_712","NiWUE_Rothamsted_061_1987_grain","16095","C",-25.3902857142857,44.1377416582649,5393,"16095","N",8.67842857142857,1.54855685308642,1791,28.5024999697583
"NiWUE_FLT_713","NiWUE_Rothamsted_061_1987_straw","16096","C",-27.5322857142857,43.0837061620578,5315,"16096","N",9.09942857142857,0.648507835266643,750,66.4351358905992
"NiWUE_FLT_714","NiWUE_Rothamsted_071_1987_grain","16097","C",-25.2152857142857,44.3156587588034,5249,"16097","N",10.0964285714286,1.88085166539305,2090,23.5614852431984
"NiWUE_FLT_716","NiWUE_Rothamsted_081_1987_grain","16099","C",-25.9022857142857,43.7938152223164,5128,"16099","N",9.51642857142857,1.92233019677236,2100,22.7816299696313
"NiWUE_FLT_717","NiWUE_Rothamsted_081_1987_straw","16100","C",-27.3022857142857,45.4608288743865,5532,"16100","N",3.83642857142857,0.518440305501997,599,87.6876824427599
"NiWUE_FLT_718","NiWUE_Rothamsted_091_1987_grain","16103","C",-25.7212857142857,44.0777955375204,5332,"16103","N",11.3694285714286,2.17610670025684,2484,20.2553466391689
"NiWUE_FLT_719","NiWUE_Rothamsted_091_1987_straw","16104","C",-27.4162857142857,45.2765460854182,5431,"16104","N",8.98442857142857,0.652822326533267,738,69.3550821490034
"NiWUE_FLT_720","NiWUE_Rothamsted_031_1988_grain","16105","C",-24.9062857142857,44.2388988541086,5240,"16105","N",0.437428571428571,1.36243044310729,1514,32.4705742431981
"NiWUE_FLT_721","NiWUE_Rothamsted_031_1988_straw","16106","C",-26.4272857142857,44.1795485738575,5290,"16106","N",-1.34257142857143,0.471799889715747,531,93.6404385352338
"NiWUE_FLT_722","NiWUE_Rothamsted_061_1988_grain","16107","C",-25.0402857142857,44.0294167293651,5304,"16107","N",2.98442857142857,1.32297529192066,1497,33.2806039525079
"NiWUE_FLT_724","NiWUE_Rothamsted_071_1988_grain","16109","C",-25.3952857142857,43.8116010076023,5151,"16109","N",4.57642857142857,1.45295219203711,1592,30.1535048762865
"NiWUE_FLT_725","NiWUE_Rothamsted_071_1988_straw","16115","C",-26.7832857142857,45.4640570454269,5469,"16115","N",3.68442857142857,0.599367016201736,684,75.8534517523809
"NiWUE_FLT_726","NiWUE_Rothamsted_081_1988_grain","16116","C",-25.5462857142857,43.7330508514092,5244,"16116","N",7.96042857142857,1.66182861478898,1865,26.3162220593743
"NiWUE_FLT_727","NiWUE_Rothamsted_081_1988_straw","16117","C",-26.4342857142857,45.8574022625853,5299,"16117","N",5.43742857142857,0.606648807454707,658,75.59134988658
"NiWUE_FLT_728","NiWUE_Rothamsted_091_1988_grain","16118","C",-25.6582857142857,43.8274690880246,5406,"16118","N",7.22142857142857,1.75613844330939,2044,24.9567277881765
"NiWUE_FLT_729","NiWUE_Rothamsted_091_1988_straw","16119","C",-26.6832857142857,46.0197464744006,5464,"16119","N",8.36742857142857,0.668180983381531,751,68.8731760091462
"NiWUE_FLT_730","NiWUE_Rothamsted_031_1989_grain","16120","C",-24.4782857142857,43.4161397322849,5060,"16120","N",0.447428571428571,1.61137461451863,1743,26.9435420796018
"NiWUE_FLT_732","NiWUE_Rothamsted_061_1989_grain","16124","C",-24.3148,44.0226324340646,5417,"16124","N",7.7408,1.78888502125595,2094,24.6089781685113
"NiWUE_FLT_733","NiWUE_Rothamsted_061_1989_straw","16125","C",-25.8398,44.4227895931844,5240,"16125","N",6.0308,0.514765460250047,569,86.2971450563255
"NiWUE_FLT_734","NiWUE_Rothamsted_071_1989_grain","16127","C",-23.9858,43.8419687896108,5157,"16127","N",8.3938,2.01429416409043,2219,21.7654251157541
"NiWUE_FLT_736","NiWUE_Rothamsted_081_1989_grain","16129","C",-23.8228,44.3922783368641,5421,"16129","N",8.1268,2.14780205914206,2489,20.6687008925751
"NiWUE_FLT_737","NiWUE_Rothamsted_081_1989_straw","16130","C",-25.1898,46.0232385160453,5244,"16130","N",7.8918,0.539385410759856,575,85.3253306410538
"NiWUE_FLT_738","NiWUE_Rothamsted_091_1989_grain","16131","C",-23.6978,43.8944348471472,5339,"16131","N",8.4358,2.22671245520606,2568,19.7126641765181
"NiWUE_FLT_739","NiWUE_Rothamsted_091_1989_straw","16132","C",-25.0158,45.0246444985586,5298,"16132","N",4.8298,0.769940727069441,854,58.4780657985609
"NiWUE_FLT_740","NiWUE_Rothamsted_031_1990_grain","16133","C",-25.2418,44.0161373865263,5100,"16133","N",0.2568,1.39143089069179,1504,31.6337215746607
"NiWUE_FLT_742","NiWUE_Rothamsted_061_1990_grain","16140","C",-24.0278,44.0156276813344,5322,"16140","N",2.7738,1.92665243246194,2201,22.8456502790645
"NiWUE_FLT_743","NiWUE_Rothamsted_061_1990_straw","16141","C",-25.0168,45.3140208067493,5339,"16141","N",1.2208,0.485215823192448,538,93.389412794926
"NiWUE_FLT_744","NiWUE_Rothamsted_071_1990_grain","16142","C",-24.2878,43.5972971055129,5054,"16142","N",3.8758,2.10191696861917,2289,20.741683785042
"NiWUE_FLT_745","NiWUE_Rothamsted_071_1990_straw","16143","C",-25.1938,45.5525375647409,5407,"16143","N",2.4348,0.482554449938756,539,94.3987514165963
"NiWUE_FLT_746","NiWUE_Rothamsted_081_1990_grain","16144","C",-24.4158,44.0478068370808,5125,"16144","N",3.2308,2.30997845037895,2516,19.0684925350082
"NiWUE_FLT_747","NiWUE_Rothamsted_081_1990_straw","16146","C",-25.0378,45.7009376924297,5283,"16146","N",3.6128,0.609269887140487,660,75.0093491521794
"NiWUE_FLT_748","NiWUE_Rothamsted_091_1990_grain","16147","C",-24.3448,44.0293665886824,5346,"16147","N",4.7718,2.37317901507102,2745,18.5529057475526
"NiWUE_FLT_749","NiWUE_Rothamsted_091_1990_straw","16148","C",-24.7928,45.5086952415871,5483,"16148","N",2.4898,0.682093586564192,778,66.7191366962138
"NiWUE_FLT_750","NiWUE_Rothamsted_031_1991_grain","16149","C",-27.1198,43.8545196305055,5129,"16149","N",0.1938,1.61201252659796,1765,27.2048255872163
"NiWUE_FLT_751","NiWUE_Rothamsted_031_1991_straw","16150","C",-28.8328,41.5798359255851,5076,"16150","N",1.0268,0.567353295016582,645,73.2873789414934
"NiWUE_FLT_752","NiWUE_Rothamsted_061_1991_grain","16151","C",-27.1518,44.099667650753,5404,"16151","N",8.3008,1.36345305684037,1584,32.3441041328906
"NiWUE_FLT_754","NiWUE_Rothamsted_071_1991_grain","16153","C",-27.4498,43.7324696403536,5127,"16153","N",8.7008,1.61656296198499,1774,27.0527475073746
"NiWUE_FLT_756","NiWUE_Rothamsted_081_1991_grain","16157","C",-27.9638,44.2264710076241,5070,"16157","N",12.4106,1.84137142909528,1969,24.0182237590999
"NiWUE_FLT_757","NiWUE_Rothamsted_081_1991_straw","16159","C",-28.9618,45.5822802270816,5538,"16159","N",9.4816,0.508485607863387,588,89.6432062622468
"NiWUE_FLT_758","NiWUE_Rothamsted_091_1991_grain","16160","C",-27.4368,43.9113041028028,5265,"16160","N",14.1036,2.0505697498145,2327,21.4141967649601
"NiWUE_FLT_759","NiWUE_Rothamsted_091_1991_straw","16161","C",-28.5958,45.2321190933412,5331,"16161","N",10.8996,0.583780625177341,649,77.4813639620201
"NiWUE_FLT_760","NiWUE_Rothamsted_031_1992_grain","16162","C",-26.5108,43.608080057682,5050,"16162","N",0.0296000000000001,1.37454113947899,1485,31.7255546634359
"NiWUE_FLT_762","NiWUE_Rothamsted_061_1992_grain","16164","C",-26.1558,43.6239351475415,5249,"16164","N",1.1066,1.45820326194209,1653,29.916223811927
"NiWUE_FLT_764","NiWUE_Rothamsted_071_1992_grain","16171","C",-25.9078,43.617037959862,5251,"16171","N",6.0136,1.76097127378556,1997,24.7687390527947
"NiWUE_FLT_766","NiWUE_Rothamsted_081_1992_grain","16173","C",-26.1508,44.0756968589,5369,"16173","N",3.9586,1.90764207496035,2200,23.1048043222763
"NiWUE_FLT_768","NiWUE_Rothamsted_091_1992_grain","16175","C",-26.4148,43.5181656864655,5296,"16175","N",1.6146,1.98560331201676,2280,21.9168478532927
"NiWUE_FLT_769","NiWUE_Rothamsted_091_1992_straw","16176","C",-27.0588,45.5022164578131,5521,"16176","N",3.0386,0.602544965467832,694,75.5167150429744
"NiWUE_FLT_770","NiWUE_Rothamsted_031_1993_grain","16177","C",-26.1308,43.8460300091014,5157,"16177","N",1.7406,1.44952190981563,1604,30.248614879287
"NiWUE_FLT_772","NiWUE_Rothamsted_061_1993_grain","16180","C",-25.8768,43.6685335019619,5290,"16180","N",8.6376,1.59502332523403,1821,27.3779905353765
"NiWUE_FLT_774","NiWUE_Rothamsted_071_1993_grain","16182","C",-25.7518,43.6691893445049,5264,"16182","N",8.2406,1.61555018340114,1835,27.0305372084266
"NiWUE_FLT_776","NiWUE_Rothamsted_081_1993_grain","16184","C",-25.7508,44.0711973404932,5260,"16184","N",8.4576,2.02902817323127,2289,21.7203476629449
"NiWUE_FLT_777","NiWUE_Rothamsted_081_1993_straw","16185","C",-27.7338,46.3013362355483,5520,"16185","N",5.1516,0.489133628287102,555,94.6598916081297
