"massspectroscopy_ID","UID","Analysis","atom","delta","percentage","amplitude"
"NiWUE_FLT_778","NiWUE_Rothamsted_091_1993_grain","16191","N",9.68328571428571,2.18460248492022,2469
"NiWUE_FLT_780","NiWUE_Rothamsted_031_1994_grain","16193","N",2.74728571428571,1.5560367863242,1669
"NiWUE_FLT_782","NiWUE_Rothamsted_061_1994_grain","16195","N",9.79828571428571,1.56000072729971,1727
"NiWUE_FLT_784","NiWUE_Rothamsted_071_1994_grain","16199","N",10.3072857142857,1.72567400280068,1957
"NiWUE_FLT_786","NiWUE_Rothamsted_081_1994_grain","16201","N",9.69228571428572,1.94937124574225,2155
"NiWUE_FLT_788","NiWUE_Rothamsted_091_1994_grain","16203","N",8.76328571428571,2.25548333110166,2422
"NiWUE_FLT_790","NiWUE_Rothamsted_031_1995_grain","16205","N",1.59028571428571,1.56863407911289,1756
"NiWUE_FLT_792","NiWUE_Rothamsted_061_1995_grain","16212","N",7.99128571428571,1.60154545855487,1843
"NiWUE_FLT_794","NiWUE_Rothamsted_071_1995_grain","16214","N",7.82428571428571,1.87458170484304,2044
"NiWUE_FLT_796","NiWUE_Rothamsted_081_1995_grain","16216","N",10.5522857142857,2.10338957454366,2377
"NiWUE_FLT_798","NiWUE_Rothamsted_091_1995_grain","16220","N",7.8898,2.25390828241939,2434
"NiWUE_FLT_800","NiWUE_Rothamsted_031_1996_grain","16223","N",1.3518,1.4215714914433,1569
"NiWUE_FLT_802","NiWUE_Rothamsted_061_1996_grain","16225","N",8.6128,1.25727827365114,1430
"NiWUE_FLT_804","NiWUE_Rothamsted_071_1996_grain","16227","N",6.8128,1.42697349793252,1644
"NiWUE_FLT_806","NiWUE_Rothamsted_081_1996_grain","16229","N",9.2308,1.64801976041433,1774
"NiWUE_FLT_808","NiWUE_Rothamsted_091_1996_grain","16236","N",10.4018,2.07286458991596,2291
"NiWUE_FLT_810","NiWUE_Rothamsted_031_1997_grain","16238","N",0.7628,1.83698016275748,1967
"NiWUE_FLT_812","NiWUE_Rothamsted_061_1997_grain","16240","N",8.3858,1.67069446675261,1807
"NiWUE_FLT_814","NiWUE_Rothamsted_071_1997_grain","16243","N",7.1868,1.77835894494168,2021
"NiWUE_FLT_816","NiWUE_Rothamsted_081_1997_grain","16245","N",7.8438,2.12732937654105,2345
"NiWUE_FLT_818","NiWUE_Rothamsted_091_1997_grain","16247","N",7.9208,2.23541231632128,2411
"NiWUE_FLT_819","NiWUE_Rothamsted_091_1997_straw","16248","N",7.2978,0.843960235997663,929
"NiWUE_FLT_820","NiWUE_Rothamsted_031_1998_grain","16249","N",0.5898,1.39443176217846,1496
"NiWUE_FLT_822","NiWUE_Rothamsted_061_1998_grain","16253","N",8.751,1.22793394731095,1392
"NiWUE_FLT_824","NiWUE_Rothamsted_071_1998_grain","16256","N",8.265,1.34313140926025,1508
"NiWUE_FLT_826","NiWUE_Rothamsted_081_1998_grain","16258","N",10.147,1.47206225341259,1630
"NiWUE_FLT_828","NiWUE_Rothamsted_091_1998_grain","16260","N",11.422,1.63174264036172,1868
"NiWUE_FLT_830","NiWUE_Rothamsted_031_1999_grain","16267","N",0.654,1.39394887550532,1499
"NiWUE_FLT_832","NiWUE_Rothamsted_061_1999_grain","16269","N",6.506,1.3968621399196,1512
"NiWUE_FLT_834","NiWUE_Rothamsted_071_1999_grain","16271","N",8.012,1.73128419211299,1895
"NiWUE_FLT_836","NiWUE_Rothamsted_081_1999_grain","16273","N",6.603,1.97487265645015,2264
"NiWUE_FLT_838","NiWUE_Rothamsted_091_1999_grain","16276","N",7.928,2.10583735147433,2336
"NiWUE_FLT_840","NiWUE_Rothamsted_031_2000_grain","16278","N",0.426,1.46502968841168,1636
"NiWUE_FLT_842","NiWUE_Rothamsted_061_2000_grain","16280","N",6.649,1.54591255067684,1645
