"massspectroscopy_ID","UID","Analysis","atom","delta","percentage","amplitude"
"NiWUE_FLT_1372","NiWUE_FAST_O-IT_CC_halfN_3_2019_grain","17159","C",-27.85,41.486704347012,4960
"NiWUE_FLT_1373","NiWUE_FAST_O-IT_CC_normN_3_2019_grain","17160","C",-28.44,41.4437625334417,5015
"NiWUE_FLT_1374","NiWUE_FAST_C-IT_CC_halfN_3_2019_grain","17161","C",-28.402,41.4302771741853,4932
"NiWUE_FLT_1375","NiWUE_FAST_C-IT_CC_normN_3_2019_grain","17162","C",-28.027,41.9440815814643,4960
"NiWUE_FLT_1376","NiWUE_FAST_O-IT_CC_halfN_4_2019_grain","17163","C",-28.071,41.3175321433052,4744
"NiWUE_FLT_1377","NiWUE_FAST_O-IT_CC_normN_4_2019_grain","17164","C",-27.524,41.4421658812705,4917
"NiWUE_FLT_1378","NiWUE_FAST_C-IT_CC_halfN_4_2019_grain","17167","C",-28.313,41.6120041915351,5059
"NiWUE_FLT_1379","NiWUE_FAST_C-IT_CC_normN_4_2019_grain","17168","C",-27.556,41.394014510086,4889
"NiWUE_FLT_1380","NiWUE_FAST_O-IT_CC_halfN_1_2019_straw","17169","C",-29.082,43.7224496730254,5250
"NiWUE_FLT_1381","NiWUE_FAST_O-IT_CC_normN_1_2019_straw","17170","C",-29.282,43.568514510378,5077
"NiWUE_FLT_1382","NiWUE_FAST_C-IT_CC_halfN_1_2019_straw","17171","C",-28.998,43.720724943941,5200
"NiWUE_FLT_1383","NiWUE_FAST_C-IT_CC_normN_1_2019_straw","17172","C",-28.549,44.3435536224581,5170
"NiWUE_FLT_1384","NiWUE_FAST_O-IT_CC_halfN_2_2019_straw","17173","C",-28.71,43.6711411956176,5240
"NiWUE_FLT_1385","NiWUE_FAST_O-IT_CC_normN_2_2019_straw","17179","C",-28.893,43.6294779421509,5197
"NiWUE_FLT_1386","NiWUE_FAST_C-IT_CC_halfN_2_2019_straw","17180","C",-28.55,43.7564587467228,5072
"NiWUE_FLT_1387","NiWUE_FAST_C-IT_CC_normN_2_2019_straw","17181","C",-28.682,43.6009867476212,5173
"NiWUE_FLT_1388","NiWUE_FAST_O-IT_CC_halfN_3_2019_straw","17182","C",-29.157,43.3693791385177,4914
"NiWUE_FLT_1389","NiWUE_FAST_O-IT_CC_normN_3_2019_straw","17183","C",-29.013,43.8522037615719,5049
"NiWUE_FLT_1390","NiWUE_FAST_C-IT_CC_halfN_3_2019_straw","17184","C",-28.643,43.7372532643744,4965
"NiWUE_FLT_1391","NiWUE_FAST_C-IT_CC_normN_3_2019_straw","17185","C",-28.467,44.9675295909624,5150
"NiWUE_FLT_1392","NiWUE_FAST_O-IT_CC_halfN_4_2019_straw","17188","C",-28.91,43.6351050214566,5123
"NiWUE_FLT_1393","NiWUE_FAST_O-IT_CC_normN_4_2019_straw","17189","C",-28.755,43.0568008278943,5112
"NiWUE_FLT_1394","NiWUE_FAST_C-IT_CC_halfN_4_2019_straw","17191","C",-28.951,44.1091564822086,5284
"NiWUE_FLT_1395","NiWUE_FAST_C-IT_CC_normN_4_2019_straw","17192","C",-28.972,43.8561199627338,5020
"NiWUE_FLT_1396","NiWUE_FAST_O-IT_CC_halfN_1_2020_grain","17193","C",-27.291,41.2440757145246,4863
"NiWUE_FLT_1397","NiWUE_FAST_O-IT_CC_normN_1_2020_grain","17194","C",-27.158,40.8990115834889,4895
"NiWUE_FLT_1398","NiWUE_FAST_C-IT_CC_halfN_1_2020_grain","17195","C",-27.049,41.2838961642335,4990
"NiWUE_FLT_1399","NiWUE_FAST_C-IT_CC_normN_1_2020_grain","17196","C",-26.879,41.1782647019507,4770
"NiWUE_FLT_1400","NiWUE_FAST_O-IT_CC_halfN_2_2020_grain","17197","C",-26.608,41.2295319935217,4812
"NiWUE_FLT_1401","NiWUE_FAST_O-IT_CC_normN_2_2020_grain","17203","C",-26.911,41.084085479164,4756
"NiWUE_FLT_1402","NiWUE_FAST_C-IT_CC_halfN_2_2020_grain","17204","C",-27.025,41.104066214351,4931
"NiWUE_FLT_1403","NiWUE_FAST_C-IT_CC_normN_2_2020_grain","17205","C",-27.32,41.2855238978793,4832
"NiWUE_FLT_1404","NiWUE_FAST_O-IT_CC_halfN_3_2020_grain","17206","C",-27.294,40.9379263085773,4896
"NiWUE_FLT_1405","NiWUE_FAST_O-IT_CC_normN_3_2020_grain","17207","C",-27.204,41.0444984193423,4847
"NiWUE_FLT_1406","NiWUE_FAST_C-IT_CC_halfN_3_2020_grain","17208","C",-26.98,40.7927232117119,4910
"NiWUE_FLT_1407","NiWUE_FAST_C-IT_CC_normN_3_2020_grain","17210","C",-27.199,41.4433428507979,5021
"NiWUE_FLT_1408","NiWUE_FAST_O-IT_CC_halfN_4_2020_grain","17211","C",-26.93,40.7285406499593,4977
"NiWUE_FLT_1409","NiWUE_FAST_O-IT_CC_normN_4_2020_grain","17212","C",-26.526,41.3260944973145,4964
"NiWUE_FLT_1410","NiWUE_FAST_C-IT_CC_halfN_4_2020_grain","17213","C",-27.201,41.3580932583125,4810
