"massspectroscopy_ID","UID","Analysis","atom","delta","percentage","amplitude"
"NiWUE_FLT_778","NiWUE_Rothamsted_091_1993_grain","16191","C",-25.6178571428571,43.9771618332628,5199
"NiWUE_FLT_779","NiWUE_Rothamsted_091_1993_straw","16192","C",-27.4578571428571,45.7143771016662,5168
"NiWUE_FLT_780","NiWUE_Rothamsted_031_1994_grain","16193","C",-26.3828571428571,43.176744684226,4940
"NiWUE_FLT_781","NiWUE_Rothamsted_031_1994_straw","16194","C",-27.4608571428571,44.3608824650433,5347
"NiWUE_FLT_782","NiWUE_Rothamsted_061_1994_grain","16195","C",-24.9998571428571,42.7927279126919,5025
"NiWUE_FLT_783","NiWUE_Rothamsted_061_1994_straw","16196","C",-27.0068571428571,45.2083443938678,5177
"NiWUE_FLT_784","NiWUE_Rothamsted_071_1994_grain","16199","C",-25.4358571428571,43.2780873771036,5172
"NiWUE_FLT_785","NiWUE_Rothamsted_071_1994_straw","16200","C",-27.6048571428571,45.3148046034276,5436
"NiWUE_FLT_786","NiWUE_Rothamsted_081_1994_grain","16201","C",-25.2998571428571,43.6489081684331,5101
"NiWUE_FLT_787","NiWUE_Rothamsted_081_1994_straw","16202","C",-27.4728571428571,45.4060688720139,5262
"NiWUE_FLT_788","NiWUE_Rothamsted_091_1994_grain","16203","C",-24.8698571428571,43.2902348432927,4954
"NiWUE_FLT_789","NiWUE_Rothamsted_091_1994_straw","16204","C",-27.4508571428571,45.556938675887,5381
"NiWUE_FLT_790","NiWUE_Rothamsted_031_1995_grain","16205","C",-26.1748571428571,43.3667676643286,5134
"NiWUE_FLT_791","NiWUE_Rothamsted_031_1995_straw","16211","C",-27.7668571428571,44.4462758609518,5093
"NiWUE_FLT_792","NiWUE_Rothamsted_061_1995_grain","16212","C",-26.0198571428571,43.7240382736417,5275
"NiWUE_FLT_793","NiWUE_Rothamsted_061_1995_straw","16213","C",-27.3638571428571,45.3759750025801,5278
"NiWUE_FLT_794","NiWUE_Rothamsted_071_1995_grain","16214","C",-26.1198571428571,43.8183158351666,5066
"NiWUE_FLT_795","NiWUE_Rothamsted_071_1995_straw","16215","C",-27.2078571428571,45.186353011428,5300
"NiWUE_FLT_796","NiWUE_Rothamsted_081_1995_grain","16216","C",-25.9708571428571,43.6107295721012,5199
"NiWUE_FLT_797","NiWUE_Rothamsted_081_1995_straw","16217","C",-27.4658571428571,44.8134541969283,5380
"NiWUE_FLT_798","NiWUE_Rothamsted_091_1995_grain","16220","C",-25.7426,43.9818165689431,5068
"NiWUE_FLT_799","NiWUE_Rothamsted_091_1995_straw","16221","C",-27.3856,45.1430338256219,5365
"NiWUE_FLT_800","NiWUE_Rothamsted_031_1996_grain","16223","C",-25.4376,43.4432980270114,5102
"NiWUE_FLT_801","NiWUE_Rothamsted_031_1996_straw","16224","C",-27.1306,43.091074840777,5122
"NiWUE_FLT_802","NiWUE_Rothamsted_061_1996_grain","16225","C",-25.3386,43.2367405356726,5203
"NiWUE_FLT_803","NiWUE_Rothamsted_061_1996_straw","16226","C",-26.4246,44.2302470005697,5129
"NiWUE_FLT_804","NiWUE_Rothamsted_071_1996_grain","16227","C",-25.0176,42.8925932958759,5231
"NiWUE_FLT_805","NiWUE_Rothamsted_071_1996_straw","16228","C",-26.6406,45.5659279401915,5438
"NiWUE_FLT_806","NiWUE_Rothamsted_081_1996_grain","16229","C",-25.1616,43.3030282656023,4982
"NiWUE_FLT_807","NiWUE_Rothamsted_081_1996_straw","16235","C",-26.8496,45.312789602025,5234
"NiWUE_FLT_808","NiWUE_Rothamsted_091_1996_grain","16236","C",-24.9166,43.0777467034563,5053
"NiWUE_FLT_809","NiWUE_Rothamsted_091_1996_straw","16237","C",-26.9146,45.149288823509,5363
"NiWUE_FLT_810","NiWUE_Rothamsted_031_1997_grain","16238","C",-25.5456,43.7664030926741,5026
"NiWUE_FLT_811","NiWUE_Rothamsted_031_1997_straw","16239","C",-26.6446,43.4166631029466,5020
"NiWUE_FLT_812","NiWUE_Rothamsted_061_1997_grain","16240","C",-25.6936,43.5230892399288,5040
"NiWUE_FLT_813","NiWUE_Rothamsted_061_1997_straw","16242","C",-26.2076,44.5590297516652,5348
"NiWUE_FLT_814","NiWUE_Rothamsted_071_1997_grain","16243","C",-26.1256,43.5758849073388,5251
"NiWUE_FLT_815","NiWUE_Rothamsted_071_1997_straw","16244","C",-26.3056,45.4879801660495,5379
"NiWUE_FLT_816","NiWUE_Rothamsted_081_1997_grain","16245","C",-26.4296,44.087789532635,5155
"NiWUE_FLT_817","NiWUE_Rothamsted_081_1997_straw","16246","C",-26.6036,45.0064902154347,5316
"NiWUE_FLT_818","NiWUE_Rothamsted_091_1997_grain","16247","C",-26.3486,44.1975799696862,5073
"NiWUE_FLT_819","NiWUE_Rothamsted_091_1997_straw","16248","C",-26.1776,45.3015169029894,5273
"NiWUE_FLT_820","NiWUE_Rothamsted_031_1998_grain","16249","C",-26.0376,43.5108588520953,4997
"NiWUE_FLT_821","NiWUE_Rothamsted_031_1998_straw","16252","C",-27.7904,42.8097980164982,5021
"NiWUE_FLT_822","NiWUE_Rothamsted_061_1998_grain","16253","C",-25.6374,43.4216014320708,5208
"NiWUE_FLT_823","NiWUE_Rothamsted_061_1998_straw","16255","C",-27.2124,44.7408790669989,5361
"NiWUE_FLT_824","NiWUE_Rothamsted_071_1998_grain","16256","C",-25.5694,43.2061769767891,5153
"NiWUE_FLT_825","NiWUE_Rothamsted_071_1998_straw","16257","C",-27.0134,44.9168910901177,5168
"NiWUE_FLT_826","NiWUE_Rothamsted_081_1998_grain","16258","C",-26.0874,43.1774231496447,5093
"NiWUE_FLT_827","NiWUE_Rothamsted_081_1998_straw","16259","C",-27.1664,45.386493433136,5360
"NiWUE_FLT_828","NiWUE_Rothamsted_091_1998_grain","16260","C",-26.5314,43.3790655294747,5257
"NiWUE_FLT_829","NiWUE_Rothamsted_091_1998_straw","16261","C",-27.3084,45.9232189976795,5413
"NiWUE_FLT_830","NiWUE_Rothamsted_031_1999_grain","16267","C",-24.6494,43.5083871923462,5007
"NiWUE_FLT_831","NiWUE_Rothamsted_031_1999_straw","16268","C",-26.8224,43.9278066668658,5158
"NiWUE_FLT_832","NiWUE_Rothamsted_061_1999_grain","16269","C",-24.3574,43.9240754679491,5080
"NiWUE_FLT_833","NiWUE_Rothamsted_061_1999_straw","16270","C",-26.0994,44.6819952364545,5303
"NiWUE_FLT_834","NiWUE_Rothamsted_071_1999_grain","16271","C",-25.2234,43.9731067364185,5111
"NiWUE_FLT_835","NiWUE_Rothamsted_071_1999_straw","16272","C",-25.8634,44.8710754460059,5344
"NiWUE_FLT_836","NiWUE_Rothamsted_081_1999_grain","16273","C",-24.8664,43.4803693562174,5265
"NiWUE_FLT_837","NiWUE_Rothamsted_081_1999_straw","16275","C",-26.0484,44.8472636539287,5351
"NiWUE_FLT_838","NiWUE_Rothamsted_091_1999_grain","16276","C",-24.9804,44.3059995898256,5197
"NiWUE_FLT_839","NiWUE_Rothamsted_091_1999_straw","16277","C",-26.4024,44.7995183231541,5398
"NiWUE_FLT_840","NiWUE_Rothamsted_031_2000_grain","16278","C",-25.5334,43.4938931819373,5145
"NiWUE_FLT_841","NiWUE_Rothamsted_031_2000_straw","16279","C",-27.3724,43.7863290550725,5084
"NiWUE_FLT_842","NiWUE_Rothamsted_061_2000_grain","16280","C",-25.2724,43.6257441652377,4954
"NiWUE_FLT_843","NiWUE_Rothamsted_061_2000_straw","16281","C",-26.2624,45.5472268735816,5386
