"massspectroscopy_ID","UID","Analysis","atom","delta","percentage","amplitude"
"NiWUE_FLT_1042","NiWUE_Rothamsted_061_2020_grain","16599","C",-27.0727142857143,43.9425354903418,5669
"NiWUE_FLT_1043","NiWUE_Rothamsted_061_2020_straw","16600","C",-27.9307142857143,44.4421182852714,5845
"NiWUE_FLT_1044","NiWUE_Rothamsted_071_2020_grain","16601","C",-27.1827142857143,43.8000319243797,5607
"NiWUE_FLT_1045","NiWUE_Rothamsted_071_2020_straw","16602","C",-28.0707142857143,46.15375436781,5700
"NiWUE_FLT_1046","NiWUE_Rothamsted_081_2020_grain","16603","C",-27.0667142857143,44.1903883350015,5827
"NiWUE_FLT_1047","NiWUE_Rothamsted_081_2020_straw","16604","C",-28.0477142857143,46.2407461831321,5692
"NiWUE_FLT_1048","NiWUE_Rothamsted_091_2020_grain","16607","C",-26.9647142857143,44.1869357340466,5779
"NiWUE_FLT_1049","NiWUE_Rothamsted_091_2020_straw","16608","C",-27.8377142857143,45.632344125297,5776
"NiWUE_FLT_1050","NiWUE_Rothamsted_031_2021_grain","16609","C",-26.9267142857143,43.5536576584127,5770
"NiWUE_FLT_1051","NiWUE_Rothamsted_031_2021_straw","16610","C",-27.4547142857143,44.0673038386573,5712
"NiWUE_FLT_1052","NiWUE_Rothamsted_061_2021_grain","16611","C",-26.8357142857143,43.8991690147053,5679
"NiWUE_FLT_1053","NiWUE_Rothamsted_061_2021_straw","16612","C",-26.8127142857143,44.8470370344062,5884
"NiWUE_FLT_1054","NiWUE_Rothamsted_071_2021_grain","16613","C",-27.7247142857143,43.7528381987043,5726
"NiWUE_FLT_1055","NiWUE_Rothamsted_071_2021_straw","16619","C",-27.0547142857143,45.5861889630405,5803
"NiWUE_FLT_1056","NiWUE_Rothamsted_081_2021_grain","16620","C",-27.4557142857143,43.8850932315149,5468
"NiWUE_FLT_1057","NiWUE_Rothamsted_081_2021_straw","16621","C",-27.0107142857143,45.4923318454917,5635
"NiWUE_FLT_1058","NiWUE_Rothamsted_091_2021_grain","16622","C",-27.2497142857143,43.9962031349934,5792
"NiWUE_FLT_1059","NiWUE_Rothamsted_091_2021_straw","16623","C",-26.7687142857143,45.4227043260573,5801
"NiWUE_FLT_1060","NiWUE_Rothamsted_031_2022_grain","16624","C",-25.5527142857143,43.4204722192797,5709
"NiWUE_FLT_1061","NiWUE_Rothamsted_031_2022_straw","16625","C",-26.6307142857143,45.1674530729281,5661
"NiWUE_FLT_1062","NiWUE_Rothamsted_061_2022_grain","16628","C",-24.489,43.4805727177203,5695
"NiWUE_FLT_1063","NiWUE_Rothamsted_061_2022_straw","16629","C",-26.414,45.2048962449432,5783
"NiWUE_FLT_1064","NiWUE_Rothamsted_071_2022_grain","16631","C",-25.287,44.4262327581549,5721
"NiWUE_FLT_1065","NiWUE_Rothamsted_071_2022_straw","16632","C",-26.732,45.3157343394388,5833
"NiWUE_FLT_1066","NiWUE_Rothamsted_081_2022_grain","16633","C",-24.864,44.2035563074776,5796
