"massspectroscopy_ID","UID","Analysis_C","atom_C","delta_C","percentage_C","amplitude_C","Analysis_N","atom_N","delta_N","percentage_N","amplitude_N","C_N_ratio"
"NiWUE_FLT_265","NiWUE_TU_Berlin_114_2021_grain","17641","C",-27.5332857142857,40.8956523367077,5186,"17641","N",0.962571428571429,1.77125950569492,2141,23.0884589215871
"NiWUE_FLT_266","NiWUE_TU_Berlin_119_2021_grain","17642","C",-27.8882857142857,41.0236901769444,5211,"17642","N",0.687571428571429,1.8470813460079,2245,22.210007299142
"NiWUE_FLT_267","NiWUE_TU_Berlin_122_2021_grain","17643","C",-27.8542857142857,41.1167108067937,5013,"17643","N",0.710571428571429,2.00607448843317,2323,20.4961037308777
"NiWUE_FLT_268","NiWUE_TU_Berlin_127_2021_grain","17644","C",-27.8452857142857,41.0710571638828,5034,"17644","N",0.790571428571429,1.92583724280255,2225,21.326338618374
"NiWUE_FLT_269","NiWUE_TU_Berlin_130_2021_grain","17645","C",-27.9952857142857,40.9069305613978,5150,"17645","N",1.08657142857143,1.60693453658318,1936,25.4565009526636
"NiWUE_FLT_270","NiWUE_TU_Berlin_135_2021_grain","17646","C",-28.0322857142857,40.646069357488,5012,"17646","N",0.813571428571429,1.52740433955571,1791,26.6112045807798
"NiWUE_FLT_271","NiWUE_TU_Berlin_138_2021_grain","17649","C",-28.1562857142857,40.9821128727853,5012,"17649","N",0.869571428571429,1.7208552733722,1993,23.814967770344
"NiWUE_FLT_272","NiWUE_TU_Berlin_143_2021_grain","17650","C",-27.5902857142857,41.1704774634464,5053,"17650","N",1.08357142857143,1.60914420114274,1880,25.5853250654658
"NiWUE_FLT_273","NiWUE_TU_Berlin_146_2021_grain","17651","C",-28.2302857142857,41.0201138062105,4979,"17651","N",0.934571428571428,1.722845284947,1982,23.8095168292911
"NiWUE_FLT_274","NiWUE_TU_Berlin_151_2021_grain","17652","C",-27.9472857142857,41.1057356222716,5228,"17652","N",1.21257142857143,1.7535330849284,2132,23.4416652731419
"NiWUE_FLT_275","NiWUE_TU_Berlin_154_2021_grain","17653","C",-27.8762857142857,40.7091412096625,5027,"17653","N",1.05657142857143,1.67371452280058,1965,24.3226312821526
"NiWUE_FLT_276","NiWUE_TU_Berlin_159_2021_grain","17654","C",-28.0592857142857,40.4014286792557,5077,"17654","N",1.36957142857143,1.40819576772007,1674,28.6902074309365
"NiWUE_FLT_277","NiWUE_TU_Berlin_164_2021_grain","17655","C",-27.7792857142857,40.9356027804443,5178,"17655","N",1.18157142857143,1.92178090310783,2349,21.3008687484847
"NiWUE_FLT_278","NiWUE_TU_Berlin_165_2021_grain","17661","C",-27.8752857142857,40.9057547746999,5092,"17661","N",1.03857142857143,2.00671391642874,2373,20.3844476483713
"NiWUE_FLT_279","NiWUE_TU_Berlin_172_2021_grain","17662","C",-27.6882857142857,40.9679123835111,5099,"17662","N",1.08457142857143,1.85750088078392,2220,22.0553932476315
"NiWUE_FLT_280","NiWUE_TU_Berlin_173_2021_grain","17663","C",-28.4422857142857,40.5661414896224,4907,"17663","N",1.16557142857143,1.93833153664932,2222,20.9283813024818
"NiWUE_FLT_281","NiWUE_TU_Berlin_180_2021_grain","17664","C",-27.8842857142857,40.8063820458097,5104,"17664","N",1.06057142857143,1.91015894610142,2271,21.3628201616909
"NiWUE_FLT_282","NiWUE_TU_Berlin_181_2021_grain","17665","C",-28.2042857142857,40.8601801472173,5159,"17665","N",0.939571428571429,2.1076538079343,2563,19.3865709792559
"NiWUE_FLT_283","NiWUE_TU_Berlin_188_2021_grain","17666","C",-28.1552857142857,40.9091715584991,5049,"17666","N",0.749571428571429,1.88027129923256,2201,21.757057917757
"NiWUE_FLT_284","NiWUE_TU_Berlin_189_2021_grain","17667","C",-27.8612857142857,40.7677035473757,5151,"17667","N",0.959571428571429,1.96124568962501,2363,20.7866376777968
