"massspectroscopy_ID","UID","Analysis_C","atom_C","delta_C","percentage_C","amplitude_C","Analysis_N","atom_N","delta_N","percentage_N","amplitude_N","C_N_ratio"
"NiWUE_FLT_199","NiWUE_TU_Berlin_42_2020_grain","15093","C",-27.5074285714286,40.9847704857085,4675,"15093","N",0.892428571428572,1.71919431315028,1797,23.8395219040757
"NiWUE_FLT_200","NiWUE_TU_Berlin_47_2020_grain","15094","C",-26.9714285714286,40.9829468550362,4705,"15094","N",1.06642857142857,1.73845124560336,1833,23.5744010415503
"NiWUE_FLT_201","NiWUE_TU_Berlin_50_2020_grain","15095","C",-27.8464285714286,40.5595232821004,4796,"15095","N",1.10342857142857,1.62292665164985,1770,24.9915935762519
"NiWUE_FLT_202","NiWUE_TU_Berlin_55_2020_grain","15096","C",-27.5934285714286,40.6489710917787,4755,"15096","N",0.987428571428572,1.6364614539719,1765,24.8395530448448
"NiWUE_FLT_203","NiWUE_TU_Berlin_58_2020_grain","15097","C",-27.6934285714286,40.5018102394867,4798,"15097","N",0.926428571428571,1.49170023015197,1634,27.1514406318489
"NiWUE_FLT_204","NiWUE_TU_Berlin_63_2020_grain","15098","C",-27.2294285714286,40.6692238873625,4842,"15098","N",1.00142857142857,1.72883070494236,1908,23.5241216916716
"NiWUE_FLT_205","NiWUE_TU_Berlin_67_2020_grain","15101","C",-27.2864285714286,40.7209279208308,4785,"15101","N",0.214428571428572,1.66691782414994,1808,24.4288754555713
"NiWUE_FLT_206","NiWUE_TU_Berlin_70_2020_grain","15102","C",-27.4984285714286,40.5780678388783,4610,"15102","N",0.366428571428571,1.6328541152648,1700,24.8510062592442
"NiWUE_FLT_207","NiWUE_TU_Berlin_75_2020_grain","15103","C",-26.9104285714286,40.6158768753865,4627,"15103","N",0.0944285714285715,1.59182165595873,1664,25.515343834749
"NiWUE_FLT_208","NiWUE_TU_Berlin_78_2020_grain","15104","C",-27.2234285714286,40.6632478536213,4716,"15104","N",0.0444285714285715,1.56427463441716,1666,25.9949544401915
"NiWUE_FLT_209","NiWUE_TU_Berlin_83_2020_grain","15105","C",-27.6694285714286,40.7224327006715,4761,"15105","N",-0.0545714285714285,1.57277017465059,1695,25.8921699794559
"NiWUE_FLT_210","NiWUE_TU_Berlin_86_2020_grain","15106","C",-27.8134285714286,40.5160315871528,4618,"15106","N",0.312428571428571,1.43976759428658,1504,28.1406747505169
"NiWUE_FLT_211","NiWUE_TU_Berlin_91_2020_grain","15107","C",-27.2174285714286,40.6776040671957,4665,"15107","N",0.128428571428572,1.53189315063948,1607,26.5538128754052
"NiWUE_FLT_212","NiWUE_TU_Berlin_94_2020_grain","15113","C",-28.0484285714286,40.6915249946429,4859,"15113","N",0.0524285714285715,1.56988291423691,1735,25.9201018277356
"NiWUE_FLT_213","NiWUE_TU_Berlin_99_2020_grain","15114","C",-27.3584285714286,40.9266701075899,4832,"15114","N",0.248428571428572,1.8563148958145,2034,22.0472669803322
"NiWUE_FLT_214","NiWUE_TU_Berlin_102_2020_grain","15115","C",-28.2324285714286,40.8705714706367,4618,"15115","N",-0.140571428571428,1.80330197553014,1868,22.6642969537154
"NiWUE_FLT_215","NiWUE_TU_Berlin_107_2020_grain","15116","C",-27.2624285714286,40.9493311434759,4787,"15116","N",0.248428571428572,1.79888813297913,1947,22.7636896329177
"NiWUE_FLT_216","NiWUE_TU_Berlin_110_2020_grain","15117","C",-28.0314285714286,40.7021322637973,4694,"15117","N",0.189428571428572,1.79690539721652,1906,22.651238249296
"NiWUE_FLT_217","NiWUE_TU_Berlin_115_2020_grain","15118","C",-28.2004285714286,41.0482432425446,4889,"15118","N",0.656428571428571,1.85436203511059,2055,22.1360459636979
"NiWUE_FLT_218","NiWUE_TU_Berlin_118_2020_grain","15119","C",-27.8534285714286,40.9080458917807,4748,"15119","N",0.648428571428571,1.91260339187399,2053,21.3886716219291
"NiWUE_FLT_219","NiWUE_TU_Berlin_123_2020_grain","15122","C",-27.7776,40.6502565478174,4699,"15122","N",0.5992,1.77761585392683,1891,22.8678521616576
"NiWUE_FLT_220","NiWUE_TU_Berlin_126_2020_grain","15123","C",-27.8186,40.9532514322862,4891,"15123","N",0.6222,1.78349101337055,1967,22.9624097487827
"NiWUE_FLT_221","NiWUE_TU_Berlin_130_2020_grain","15125","C",-26.7556,40.6124348096463,4839,"15125","N",-0.0317999999999999,1.51621543341238,1666,26.7853986410389
"NiWUE_FLT_222","NiWUE_TU_Berlin_135_2020_grain","15126","C",-27.3066,40.6713099661337,4698,"15126","N",-0.2418,1.58353545765594,1681,25.6838643994357
"NiWUE_FLT_223","NiWUE_TU_Berlin_138_2020_grain","15127","C",-27.5446,40.6845938372792,4843,"15127","N",0.00520000000000009,1.48105021129763,1632,27.4700975881386
"NiWUE_FLT_224","NiWUE_TU_Berlin_143_2020_grain","15128","C",-27.6706,40.6019040361525,4649,"15128","N",-0.1298,1.47021459409401,1543,27.6163113869596
"NiWUE_FLT_225","NiWUE_TU_Berlin_146_2020_grain","15129","C",-27.8326,40.4060683232588,4845,"15129","N",-0.1958,1.6130405801313,1786,25.0496291419834
"NiWUE_FLT_226","NiWUE_TU_Berlin_151_2020_grain","15130","C",-27.0746,40.8090778135387,4887,"15130","N",0.0622000000000001,1.62844913292622,1806,25.060087532613
"NiWUE_FLT_227","NiWUE_TU_Berlin_154_2020_grain","15131","C",-27.0716,40.8649014599232,4867,"15131","N",-0.0387999999999999,1.63803301035024,1803,24.9475445254827
