"massspectroscopy_ID","UID","Analysis","atom","delta","percentage","amplitude"
"NiWUE_FLT_199","NiWUE_TU_Berlin_42_2020_grain","15093","C",-27.5074285714286,40.9847704857085,4675
"NiWUE_FLT_200","NiWUE_TU_Berlin_47_2020_grain","15094","C",-26.9714285714286,40.9829468550362,4705
"NiWUE_FLT_201","NiWUE_TU_Berlin_50_2020_grain","15095","C",-27.8464285714286,40.5595232821004,4796
"NiWUE_FLT_202","NiWUE_TU_Berlin_55_2020_grain","15096","C",-27.5934285714286,40.6489710917787,4755
"NiWUE_FLT_203","NiWUE_TU_Berlin_58_2020_grain","15097","C",-27.6934285714286,40.5018102394867,4798
"NiWUE_FLT_204","NiWUE_TU_Berlin_63_2020_grain","15098","C",-27.2294285714286,40.6692238873625,4842
"NiWUE_FLT_205","NiWUE_TU_Berlin_67_2020_grain","15101","C",-27.2864285714286,40.7209279208308,4785
"NiWUE_FLT_206","NiWUE_TU_Berlin_70_2020_grain","15102","C",-27.4984285714286,40.5780678388783,4610
"NiWUE_FLT_207","NiWUE_TU_Berlin_75_2020_grain","15103","C",-26.9104285714286,40.6158768753865,4627
"NiWUE_FLT_208","NiWUE_TU_Berlin_78_2020_grain","15104","C",-27.2234285714286,40.6632478536213,4716
"NiWUE_FLT_209","NiWUE_TU_Berlin_83_2020_grain","15105","C",-27.6694285714286,40.7224327006715,4761
"NiWUE_FLT_210","NiWUE_TU_Berlin_86_2020_grain","15106","C",-27.8134285714286,40.5160315871528,4618
"NiWUE_FLT_211","NiWUE_TU_Berlin_91_2020_grain","15107","C",-27.2174285714286,40.6776040671957,4665
"NiWUE_FLT_212","NiWUE_TU_Berlin_94_2020_grain","15113","C",-28.0484285714286,40.6915249946429,4859
"NiWUE_FLT_213","NiWUE_TU_Berlin_99_2020_grain","15114","C",-27.3584285714286,40.9266701075899,4832
"NiWUE_FLT_214","NiWUE_TU_Berlin_102_2020_grain","15115","C",-28.2324285714286,40.8705714706367,4618
"NiWUE_FLT_215","NiWUE_TU_Berlin_107_2020_grain","15116","C",-27.2624285714286,40.9493311434759,4787
"NiWUE_FLT_216","NiWUE_TU_Berlin_110_2020_grain","15117","C",-28.0314285714286,40.7021322637973,4694
"NiWUE_FLT_217","NiWUE_TU_Berlin_115_2020_grain","15118","C",-28.2004285714286,41.0482432425446,4889
"NiWUE_FLT_218","NiWUE_TU_Berlin_118_2020_grain","15119","C",-27.8534285714286,40.9080458917807,4748
"NiWUE_FLT_219","NiWUE_TU_Berlin_123_2020_grain","15122","C",-27.7776,40.6502565478174,4699
"NiWUE_FLT_220","NiWUE_TU_Berlin_126_2020_grain","15123","C",-27.8186,40.9532514322862,4891
"NiWUE_FLT_221","NiWUE_TU_Berlin_130_2020_grain","15125","C",-26.7556,40.6124348096463,4839
"NiWUE_FLT_222","NiWUE_TU_Berlin_135_2020_grain","15126","C",-27.3066,40.6713099661337,4698
"NiWUE_FLT_223","NiWUE_TU_Berlin_138_2020_grain","15127","C",-27.5446,40.6845938372792,4843
"NiWUE_FLT_224","NiWUE_TU_Berlin_143_2020_grain","15128","C",-27.6706,40.6019040361525,4649
"NiWUE_FLT_225","NiWUE_TU_Berlin_146_2020_grain","15129","C",-27.8326,40.4060683232588,4845
"NiWUE_FLT_226","NiWUE_TU_Berlin_151_2020_grain","15130","C",-27.0746,40.8090778135387,4887
"NiWUE_FLT_227","NiWUE_TU_Berlin_154_2020_grain","15131","C",-27.0716,40.8649014599232,4867
"NiWUE_FLT_228","NiWUE_TU_Berlin_159_2020_grain","15142","C",-27.1536,40.852962485388,4670
"NiWUE_FLT_229","NiWUE_TU_Berlin_163_2020_grain","15144","C",-27.3126,41.0124300942858,4807
"NiWUE_FLT_230","NiWUE_TU_Berlin_166_2020_grain","15145","C",-27.4976,41.1089643379114,4913
"NiWUE_FLT_231","NiWUE_TU_Berlin_171_2020_grain","15146","C",-27.6206,41.2392063058753,4761
"NiWUE_FLT_232","NiWUE_TU_Berlin_174_2020_grain","15137","C",-27.6046,40.9967213212233,4719
"NiWUE_FLT_233","NiWUE_TU_Berlin_179_2020_grain","15138","C",-28.1156,40.6997639067611,4630
"NiWUE_FLT_234","NiWUE_TU_Berlin_182_2020_grain","15139","C",-27.7056,64.7695603077115,6803
"NiWUE_FLT_235","NiWUE_TU_Berlin_187_2020_grain","15140","C",-27.8196,40.8826786645213,4864
"NiWUE_FLT_236","NiWUE_TU_Berlin_190_2020_grain","15141","C",-27.2206,40.9928379838686,4815
"NiWUE_FLT_237","NiWUE_TU_Berlin_3_2021_grain","15147","C",-28.1366,40.9748352020057,4815
"NiWUE_FLT_238","NiWUE_TU_Berlin_6_2021_grain","15148","C",-28.5026,40.8837069543717,4881
"NiWUE_FLT_239","NiWUE_TU_Berlin_11_2021_grain","15149","C",-28.0196,40.6922242552018,4823
"NiWUE_FLT_240","NiWUE_TU_Berlin_14_2021_grain","15150","C",-28.5446,40.5840347472428,4619
"NiWUE_FLT_241","NiWUE_TU_Berlin_19_2021_grain","15151","C",-27.7866,40.6962405400599,4602
"NiWUE_FLT_242","NiWUE_TU_Berlin_22_2021_grain","15154","C",-27.6564,40.7249478464352,4789
"NiWUE_FLT_243","NiWUE_TU_Berlin_27_2021_grain","15155","C",-27.8114,40.724831065957,4809
"NiWUE_FLT_244","NiWUE_TU_Berlin_30_2021_grain","15157","C",-27.9354,40.9527599569899,4861
"NiWUE_FLT_245","NiWUE_TU_Berlin_35_2021_grain","15158","C",-28.0394,40.6193645510247,4623
"NiWUE_FLT_246","NiWUE_TU_Berlin_38_2021_grain","15159","C",-28.1014,40.7584635993631,4609
"NiWUE_FLT_247","NiWUE_TU_Berlin_43_2021_grain","15160","C",-27.6574,40.7668829496521,4675
"NiWUE_FLT_248","NiWUE_TU_Berlin_46_2021_grain","15161","C",-28.2914,40.609568655863,4723
"NiWUE_FLT_249","NiWUE_TU_Berlin_51_2021_grain","15162","C",-27.9194,40.7612599868429,4627
"NiWUE_FLT_250","NiWUE_TU_Berlin_54_2021_grain","15163","C",-27.9724,40.8290535239456,4588
"NiWUE_FLT_251","NiWUE_TU_Berlin_59_2021_grain","15169","C",-27.8254,41.0034348787586,4683
"NiWUE_FLT_252","NiWUE_TU_Berlin_62_2021_grain","15170","C",-28.1684,40.5741387489569,4634
"NiWUE_FLT_253","NiWUE_TU_Berlin_65_2021_grain","15171","C",-27.9644,40.848575381275,4566
"NiWUE_FLT_254","NiWUE_TU_Berlin_72_2021_grain","15172","C",-27.8454,41.2821997952093,4659
"NiWUE_FLT_255","NiWUE_TU_Berlin_73_2021_grain","15173","C",-27.4094,40.8277011934815,4725
"NiWUE_FLT_256","NiWUE_TU_Berlin_80_2021_grain","15174","C",-27.6824,40.8448817220879,4708
"NiWUE_FLT_257","NiWUE_TU_Berlin_81_2021_grain","15175","C",-27.8714,40.7283252484184,4693
"NiWUE_FLT_258","NiWUE_TU_Berlin_88_2021_grain","15177","C",-27.9024,40.7987316131958,4724
"NiWUE_FLT_259","NiWUE_TU_Berlin_89_2021_grain","15178","C",-28.2394,40.7720396764421,4644
"NiWUE_FLT_260","NiWUE_TU_Berlin_96_2021_grain","15179","C",-27.9284,40.9415411259785,4626
"NiWUE_FLT_261","NiWUE_TU_Berlin_98_2021_grain","15180","C",-28.1764,40.9588784517452,4688
"NiWUE_FLT_262","NiWUE_TU_Berlin_103_2021_grain","15181","C",-28.1094,40.9001961019585,4660
"NiWUE_FLT_263","NiWUE_TU_Berlin_106_2021_grain","15182","C",-28.3794,40.9170260917503,4778
"NiWUE_FLT_264","NiWUE_TU_Berlin_111_2021_grain","15183","C",-27.9304,40.9829645136436,4585
