"massspectroscopy_ID","UID","Analysis","atom","delta","percentage","amplitude"
"NiWUE_FLT_712","NiWUE_Rothamsted_061_1987_grain","16095","N",8.67842857142857,1.54855685308642,1791
"NiWUE_FLT_714","NiWUE_Rothamsted_071_1987_grain","16097","N",10.0964285714286,1.88085166539305,2090
"NiWUE_FLT_716","NiWUE_Rothamsted_081_1987_grain","16099","N",9.51642857142857,1.92233019677236,2100
"NiWUE_FLT_718","NiWUE_Rothamsted_091_1987_grain","16103","N",11.3694285714286,2.17610670025684,2484
"NiWUE_FLT_720","NiWUE_Rothamsted_031_1988_grain","16105","N",0.437428571428571,1.36243044310729,1514
"NiWUE_FLT_722","NiWUE_Rothamsted_061_1988_grain","16107","N",2.98442857142857,1.32297529192066,1497
"NiWUE_FLT_724","NiWUE_Rothamsted_071_1988_grain","16109","N",4.57642857142857,1.45295219203711,1592
"NiWUE_FLT_726","NiWUE_Rothamsted_081_1988_grain","16116","N",7.96042857142857,1.66182861478898,1865
"NiWUE_FLT_728","NiWUE_Rothamsted_091_1988_grain","16118","N",7.22142857142857,1.75613844330939,2044
"NiWUE_FLT_730","NiWUE_Rothamsted_031_1989_grain","16120","N",0.447428571428571,1.61137461451863,1743
"NiWUE_FLT_732","NiWUE_Rothamsted_061_1989_grain","16124","N",7.7408,1.78888502125595,2094
"NiWUE_FLT_734","NiWUE_Rothamsted_071_1989_grain","16127","N",8.3938,2.01429416409043,2219
"NiWUE_FLT_736","NiWUE_Rothamsted_081_1989_grain","16129","N",8.1268,2.14780205914206,2489
"NiWUE_FLT_738","NiWUE_Rothamsted_091_1989_grain","16131","N",8.4358,2.22671245520606,2568
"NiWUE_FLT_739","NiWUE_Rothamsted_091_1989_straw","16132","N",4.8298,0.769940727069441,854
"NiWUE_FLT_740","NiWUE_Rothamsted_031_1990_grain","16133","N",0.2568,1.39143089069179,1504
"NiWUE_FLT_742","NiWUE_Rothamsted_061_1990_grain","16140","N",2.7738,1.92665243246194,2201
"NiWUE_FLT_744","NiWUE_Rothamsted_071_1990_grain","16142","N",3.8758,2.10191696861917,2289
"NiWUE_FLT_746","NiWUE_Rothamsted_081_1990_grain","16144","N",3.2308,2.30997845037895,2516
"NiWUE_FLT_748","NiWUE_Rothamsted_091_1990_grain","16147","N",4.7718,2.37317901507102,2745
"NiWUE_FLT_750","NiWUE_Rothamsted_031_1991_grain","16149","N",0.1938,1.61201252659796,1765
"NiWUE_FLT_752","NiWUE_Rothamsted_061_1991_grain","16151","N",8.3008,1.36345305684037,1584
"NiWUE_FLT_754","NiWUE_Rothamsted_071_1991_grain","16153","N",8.7008,1.61656296198499,1774
"NiWUE_FLT_756","NiWUE_Rothamsted_081_1991_grain","16157","N",12.4106,1.84137142909528,1969
"NiWUE_FLT_758","NiWUE_Rothamsted_091_1991_grain","16160","N",14.1036,2.0505697498145,2327
"NiWUE_FLT_760","NiWUE_Rothamsted_031_1992_grain","16162","N",0.0296000000000001,1.37454113947899,1485
"NiWUE_FLT_762","NiWUE_Rothamsted_061_1992_grain","16164","N",1.1066,1.45820326194209,1653
"NiWUE_FLT_764","NiWUE_Rothamsted_071_1992_grain","16171","N",6.0136,1.76097127378556,1997
"NiWUE_FLT_766","NiWUE_Rothamsted_081_1992_grain","16173","N",3.9586,1.90764207496035,2200
"NiWUE_FLT_768","NiWUE_Rothamsted_091_1992_grain","16175","N",1.6146,1.98560331201676,2280
"NiWUE_FLT_770","NiWUE_Rothamsted_031_1993_grain","16177","N",1.7406,1.44952190981563,1604
"NiWUE_FLT_772","NiWUE_Rothamsted_061_1993_grain","16180","N",8.6376,1.59502332523403,1821
"NiWUE_FLT_774","NiWUE_Rothamsted_071_1993_grain","16182","N",8.2406,1.61555018340114,1835
"NiWUE_FLT_776","NiWUE_Rothamsted_081_1993_grain","16184","N",8.4576,2.02902817323127,2289
