"massspectroscopy_ID","UID","Analysis_C","atom_C","delta_C","percentage_C","amplitude_C","Analysis_N","atom_N","delta_N","percentage_N","amplitude_N","C_N_ratio"
"NiWUE_FLT_844","NiWUE_Rothamsted_071_2000_grain","16287","C",-25.4321428571429,43.4608758856141,5007,"16287","N",5.82785714285714,1.76924141166088,1936,24.5646951281878
"NiWUE_FLT_845","NiWUE_Rothamsted_071_2000_straw","16288","C",-27.4381428571429,45.0855110691212,5293,"16288","N",1.64185714285714,0.605497784955956,680,74.460241126069
"NiWUE_FLT_846","NiWUE_Rothamsted_081_2000_grain","16289","C",-26.2031428571429,44.2154238324679,5338,"16289","N",5.74185714285714,1.8839298992571,2191,23.4697818904533
"NiWUE_FLT_847","NiWUE_Rothamsted_081_2000_straw","16290","C",-26.6201428571429,45.30471691145,5400,"16290","N",3.01485714285714,0.530720061450696,608,85.364621016232
"NiWUE_FLT_848","NiWUE_Rothamsted_091_2000_grain","16291","C",-25.9801428571429,43.8289311736084,5161,"16291","N",7.03285714285714,2.23040132352407,2511,19.6506927750375
"NiWUE_FLT_849","NiWUE_Rothamsted_091_2000_straw","16292","C",-27.4021428571429,45.2269526257968,5110,"16292","N",1.84985714285714,0.54491686902865,586,82.9978941676312
"NiWUE_FLT_850","NiWUE_Rothamsted_031_2001_grain","16295","C",-25.3191428571429,43.6676650875129,5185,"16295","N",1.53985714285714,1.96533812664006,2231,22.2189070143198
"NiWUE_FLT_851","NiWUE_Rothamsted_031_2001_straw","16296","C",-26.9061428571429,43.5389092223533,5154,"16296","N",0.853857142857143,0.517188360920428,585,84.183853528467
"NiWUE_FLT_852","NiWUE_Rothamsted_061_2001_grain","16297","C",-25.3951428571429,43.4230881496595,5106,"16297","N",6.60285714285714,1.65154825981213,1851,26.2923519743826
"NiWUE_FLT_853","NiWUE_Rothamsted_061_2001_straw","16298","C",-26.9881428571429,44.9972467683289,5317,"16298","N",5.51185714285714,0.445580238255364,508,100.985732546201
"NiWUE_FLT_854","NiWUE_Rothamsted_071_2001_grain","16299","C",-25.5421428571429,43.5770205564458,5178,"16299","N",7.70285714285714,1.9564614993913,2225,22.2733851752276
"NiWUE_FLT_855","NiWUE_Rothamsted_071_2001_straw","16300","C",-26.7251428571429,45.2836337292947,5178,"16300","N",4.28685714285714,0.472152822729005,515,95.9088488925238
"NiWUE_FLT_856","NiWUE_Rothamsted_081_2001_grain","16301","C",-25.4311428571429,42.9460524747422,4924,"16301","N",7.68085714285714,1.97963168370427,2138,21.6939609667096
"NiWUE_FLT_857","NiWUE_Rothamsted_081_2001_straw","16307","C",-26.3511428571429,45.3906096895116,5116,"16307","N",4.52185714285714,0.509097997988931,547,89.1588846721383
"NiWUE_FLT_858","NiWUE_Rothamsted_091_2001_grain","16308","C",-25.2681428571429,43.8382664573748,5218,"16308","N",8.59985714285714,2.34395266861563,2681,18.7027097621669
"NiWUE_FLT_859","NiWUE_Rothamsted_091_2001_straw","16309","C",-25.8561428571429,45.1400944136849,5324,"16309","N",4.60485714285714,0.659659948790031,750,68.4293392322548
"NiWUE_FLT_860","NiWUE_Rothamsted_031_2002_grain","16310","C",-24.8671428571429,43.1244167917431,5193,"16310","N",0.629857142857143,1.37317275643083,1586,31.4049463840462
"NiWUE_FLT_862","NiWUE_Rothamsted_061_2002_grain","16312","C",-24.3401428571429,42.6708203780526,4862,"16312","N",5.55085714285714,1.51804876734578,1632,28.1089918162906
"NiWUE_FLT_863","NiWUE_Rothamsted_061_2002_straw","16313","C",-26.5981428571429,43.5464108515064,5041,"16313","N",7.99685714285714,0.500277743205047,550,87.04446968303
"NiWUE_FLT_864","NiWUE_Rothamsted_071_2002_grain","16316","C",-24.3104,43.5726243945375,4978,"16316","N",6.0712,1.71791520490789,1847,25.3636642076719
"NiWUE_FLT_866","NiWUE_Rothamsted_081_2002_grain","16319","C",-24.3214,42.8180984132981,5051,"16319","N",5.8212,2.03353532986555,2272,21.0559894310414
