"massspectroscopy_ID","UID","Analysis","atom","delta","percentage","amplitude"
"NiWUE_FLT_1108","NiWUE_DOK_N0_1_1996_grain","16695","C",-25.7255714285714,42.4494792060175,5362
"NiWUE_FLT_1109","NiWUE_DOK_M2_1_1996_grain","16696","C",-26.0045714285714,43.1881276252834,5655
"NiWUE_FLT_1110","NiWUE_DOK_K2_1_1996_grain","16697","C",-26.2105714285714,43.0917256100384,5383
"NiWUE_FLT_1111","NiWUE_DOK_N0_1_1996_straw","16698","C",-27.9405714285714,44.3654851519346,5631
"NiWUE_FLT_1112","NiWUE_DOK_M2_1_1996_straw","16699","C",-28.0815714285714,44.7595052003706,5748
"NiWUE_FLT_1113","NiWUE_DOK_K2_1_1996_straw","16700","C",-27.7735714285714,43.0149778650272,5377
"NiWUE_FLT_1114","NiWUE_DOK_N0_1_1997_grain","16704","C",-25.4845714285714,41.2605879053319,5200
"NiWUE_FLT_1115","NiWUE_DOK_M2_1_1997_grain","16705","C",-26.1985714285714,41.200626788079,5405
"NiWUE_FLT_1116","NiWUE_DOK_K2_1_1997_grain","16706","C",-25.9325714285714,41.3467345904072,5455
"NiWUE_FLT_1117","NiWUE_DOK_N0_1_1997_straw","16707","C",-26.6655714285714,44.6303322058821,5696
"NiWUE_FLT_1118","NiWUE_DOK_M2_1_1997_straw","16708","C",-27.7195714285714,43.6320029445674,5728
"NiWUE_FLT_1119","NiWUE_DOK_K2_1_1997_straw","16709","C",-27.4325714285714,43.5273551658883,5418
"NiWUE_FLT_1120","NiWUE_DOK_N0_1_1998_grain","16710","C",-26.0115714285714,41.6027402353927,5477
"NiWUE_FLT_1121","NiWUE_DOK_M2_1_1998_grain","16716","C",-26.2645714285714,41.7418637560312,5568
"NiWUE_FLT_1122","NiWUE_DOK_K2_1_1998_grain","16717","C",-26.3925714285714,41.8489497297282,5299
"NiWUE_FLT_1123","NiWUE_DOK_N0_1_1998_straw","16718","C",-27.3785714285714,43.1443001565017,5563
