"massspectroscopy_ID","UID","Analysis_C","atom_C","delta_C","percentage_C","amplitude_C","Analysis_N","atom_N","delta_N","percentage_N","amplitude_N","C_N_ratio"
"NiWUE_FLT_1309","NiWUE_DOK_K2_2_2020_straw","17066","C",-28.8707142857143,42.7876559668067,5118,"17066","N",1.39928571428571,0.697406705849672,771,61.3525158389138
"NiWUE_FLT_1311","NiWUE_DOK_M2_3_2020_straw","17068","C",-28.6057142857143,42.9756630960925,5125,"17068","N",-0.413714285714286,0.584468249148056,643,73.5295085040728
"NiWUE_FLT_1316","NiWUE_DOK_K1_3_2020_straw","17075","C",-28.4567142857143,42.8123621260551,4888,"17075","N",1.46028571428571,0.522327706175542,546,81.9645628977356
"NiWUE_FLT_1317","NiWUE_DOK_K2_3_2020_straw","17076","C",-29.2237142857143,43.6891122055602,5136,"17076","N",1.54828571428571,0.54710229101565,597,79.855472958183
"NiWUE_FLT_1318","NiWUE_DOK_N0_4_2020_straw","17077","C",-28.0287142857143,41.8197493263541,4907,"17077","N",2.88328571428571,0.587447452245396,634,71.1889193944188
"NiWUE_FLT_1320","NiWUE_DOK_D1_4_2020_straw","17084","C",-28.7607142857143,40.9521490944472,4863,"17084","N",3.79228571428571,0.472967576870574,511,86.5855316455522
"NiWUE_FLT_1321","NiWUE_DOK_D2_4_2020_straw","17085","C",-28.8387142857143,41.8452256626517,5030,"17085","N",4.88028571428571,0.582596658371548,649,71.8253787785462
"NiWUE_FLT_1326","NiWUE_DOK_N0_1_2022_grain","17092","C",-26.954,42.1290260639584,4994,"17092","N",4.9878,2.2414682291628,2456,18.7952813766599
"NiWUE_FLT_1327","NiWUE_DOK_M2_1_2022_grain","17093","C",-27.94,42.0131250200847,4918,"17093","N",1.7668,2.6799513276295,2902,15.6768238986066
"NiWUE_FLT_1328","NiWUE_DOK_K2_1_2022_grain","17095","C",-28.12,41.9585703888469,4957,"17095","N",2.5448,2.71735871341463,2958,15.4409390934338
"NiWUE_FLT_1329","NiWUE_DOK_N0_1_2022_straw","17096","C",-28.644,42.7685615670383,5063,"17096","N",3.6168,0.473964764730392,512,90.2357406069344
"NiWUE_FLT_1330","NiWUE_DOK_M2_1_2022_straw","17097","C",-29.078,43.3679664419985,4933,"17097","N",0.8558,0.530901828826521,523,81.6873555283411
"NiWUE_FLT_1331","NiWUE_DOK_K2_1_2022_straw","17098","C",-29.364,43.2048658979097,4877,"17098","N",2.0008,0.658914771682069,684,65.5697333778341
"NiWUE_FLT_1332","NiWUE_FAST_O-IT_CC_halfN_2_2013_grain","17099","C",-27.264,43.4531533217276,5136,"17099","N",3.4328,1.74578510926683,1917,24.8903218907489
"NiWUE_FLT_1333","NiWUE_FAST_O-IT_CC_normN_2_2013_grain","17100","C",-27.686,43.3584441510492,5077,"17100","N",2.3168,1.66643415938474,1802,26.0186962124309
"NiWUE_FLT_1334","NiWUE_FAST_C-IT_CC_halfN_2_2013_grain","17101","C",-27.31,42.8263043843664,4913,"17101","N",-0.9952,1.90871042579925,2017,22.4372978768811
"NiWUE_FLT_1335","NiWUE_FAST_C-IT_CC_normN_2_2013_grain","17107","C",-27.559,43.9565583212897,5168,"17107","N",-0.4792,1.89859749835806,2061,23.1521206360506
"NiWUE_FLT_1340","NiWUE_FAST_O-IT_CC_halfN_2_2014_grain","17112","C",-26.799,42.5834344280153,4907,"17112","N",3.2478,1.42551280678818,1509,29.8723618793436
"NiWUE_FLT_1341","NiWUE_FAST_O-IT_CC_normN_2_2014_grain","17114","C",-27.229,43.4872758422082,5034,"17114","N",3.2278,1.54006829465649,1654,28.2372385647404
"NiWUE_FLT_1342","NiWUE_FAST_C-IT_CC_halfN_2_2014_grain","17115","C",-26.849,43.643005233113,5038,"17115","N",-1.1402,2.06497386992145,2205,21.1348946680731
"NiWUE_FLT_1343","NiWUE_FAST_C-IT_CC_normN_2_2014_grain","17116","C",-27.119,43.3592822455627,5019,"17116","N",-0.8532,1.8776386701796,1995,23.0924527355497
"NiWUE_FLT_1348","NiWUE_FAST_C-IT_CC_normN_2_2016_grain","17121","C",-27.259,44.2420809379833,5053,"17121","N",-1.5762,2.58354267347735,2734,17.1245791262411
"NiWUE_FLT_1349","NiWUE_FAST_O-IT_CC_halfN_2_2016_grain","17124","C",-27.946,43.5294861876998,4970,"17124","N",2.702,2.22123453207196,2344,19.5969788688166
