"massspectroscopy_ID","UID","Analysis_C","atom_C","delta_C","percentage_C","amplitude_C","Analysis_N","atom_N","delta_N","percentage_N","amplitude_N","C_N_ratio"
"NiWUE_FLT_778","NiWUE_Rothamsted_091_1993_grain","16191","C",-25.6178571428571,43.9771618332628,5199,"16191","N",9.68328571428571,2.18460248492022,2469,20.1305098464487
"NiWUE_FLT_779","NiWUE_Rothamsted_091_1993_straw","16192","C",-27.4578571428571,45.7143771016662,5168,"16192","N",6.65828571428571,0.57600036363037,615,79.3651879202666
"NiWUE_FLT_780","NiWUE_Rothamsted_031_1994_grain","16193","C",-26.3828571428571,43.176744684226,4940,"16193","N",2.74728571428571,1.5560367863242,1669,27.7478945637408
"NiWUE_FLT_782","NiWUE_Rothamsted_061_1994_grain","16195","C",-24.9998571428571,42.7927279126919,5025,"16195","N",9.79828571428571,1.56000072729971,1727,27.4312230525457
"NiWUE_FLT_784","NiWUE_Rothamsted_071_1994_grain","16199","C",-25.4358571428571,43.2780873771036,5172,"16199","N",10.3072857142857,1.72567400280068,1957,25.0789473022515
"NiWUE_FLT_786","NiWUE_Rothamsted_081_1994_grain","16201","C",-25.2998571428571,43.6489081684331,5101,"16201","N",9.69228571428572,1.94937124574225,2155,22.3912752708185
"NiWUE_FLT_788","NiWUE_Rothamsted_091_1994_grain","16203","C",-24.8698571428571,43.2902348432927,4954,"16203","N",8.76328571428571,2.25548333110166,2422,19.1933295388834
"NiWUE_FLT_790","NiWUE_Rothamsted_031_1995_grain","16205","C",-26.1748571428571,43.3667676643286,5134,"16205","N",1.59028571428571,1.56863407911289,1756,27.6461975688134
"NiWUE_FLT_792","NiWUE_Rothamsted_061_1995_grain","16212","C",-26.0198571428571,43.7240382736417,5275,"16212","N",7.99128571428571,1.60154545855487,1843,27.3011534203316
"NiWUE_FLT_794","NiWUE_Rothamsted_071_1995_grain","16214","C",-26.1198571428571,43.8183158351666,5066,"16214","N",7.82428571428571,1.87458170484304,2044,23.3749831879617
"NiWUE_FLT_795","NiWUE_Rothamsted_071_1995_straw","16215","C",-27.2078571428571,45.186353011428,5300,"16215","N",5.24128571428571,0.541382922786154,605,83.4646811149538
"NiWUE_FLT_796","NiWUE_Rothamsted_081_1995_grain","16216","C",-25.9708571428571,43.6107295721012,5199,"16216","N",10.5522857142857,2.10338957454366,2377,20.7335484115265
"NiWUE_FLT_797","NiWUE_Rothamsted_081_1995_straw","16217","C",-27.4658571428571,44.8134541969283,5380,"16217","N",7.14228571428571,0.582228316026647,666,76.9688676475799
"NiWUE_FLT_798","NiWUE_Rothamsted_091_1995_grain","16220","C",-25.7426,43.9818165689431,5068,"16220","N",7.8898,2.25390828241939,2434,19.5135786633395
"NiWUE_FLT_799","NiWUE_Rothamsted_091_1995_straw","16221","C",-27.3856,45.1430338256219,5365,"16221","N",7.5368,0.527541509532972,596,85.5724772550821
"NiWUE_FLT_800","NiWUE_Rothamsted_031_1996_grain","16223","C",-25.4376,43.4432980270114,5102,"16223","N",1.3518,1.4215714914433,1569,30.5600515264301
"NiWUE_FLT_802","NiWUE_Rothamsted_061_1996_grain","16225","C",-25.3386,43.2367405356726,5203,"16225","N",8.6128,1.25727827365114,1430,34.3891574695815
"NiWUE_FLT_804","NiWUE_Rothamsted_071_1996_grain","16227","C",-25.0176,42.8925932958759,5231,"16227","N",6.8128,1.42697349793252,1644,30.0584372155623
"NiWUE_FLT_806","NiWUE_Rothamsted_081_1996_grain","16229","C",-25.1616,43.3030282656023,4982,"16229","N",9.2308,1.64801976041433,1774,26.2757943234342
"NiWUE_FLT_808","NiWUE_Rothamsted_091_1996_grain","16236","C",-24.9166,43.0777467034563,5053,"16236","N",10.4018,2.07286458991596,2291,20.7817466288055
"NiWUE_FLT_809","NiWUE_Rothamsted_091_1996_straw","16237","C",-26.9146,45.149288823509,5363,"16237","N",8.7638,0.470039809761545,529,96.0541807010211
"NiWUE_FLT_810","NiWUE_Rothamsted_031_1997_grain","16238","C",-25.5456,43.7664030926741,5026,"16238","N",0.7628,1.83698016275748,1967,23.8251909193056
"NiWUE_FLT_812","NiWUE_Rothamsted_061_1997_grain","16240","C",-25.6936,43.5230892399288,5040,"16240","N",8.3858,1.67069446675261,1807,26.0508968611875
"NiWUE_FLT_814","NiWUE_Rothamsted_071_1997_grain","16243","C",-26.1256,43.5758849073388,5251,"16243","N",7.1868,1.77835894494168,2021,24.5034249307683
"NiWUE_FLT_815","NiWUE_Rothamsted_071_1997_straw","16244","C",-26.3056,45.4879801660495,5379,"16244","N",4.7008,0.522410710121844,587,87.0732151632959
"NiWUE_FLT_816","NiWUE_Rothamsted_081_1997_grain","16245","C",-26.4296,44.087789532635,5155,"16245","N",7.8438,2.12732937654105,2345,20.7244773746884
"NiWUE_FLT_817","NiWUE_Rothamsted_081_1997_straw","16246","C",-26.6036,45.0064902154347,5316,"16246","N",6.2638,0.583041528049184,651,77.1925978686686
"NiWUE_FLT_818","NiWUE_Rothamsted_091_1997_grain","16247","C",-26.3486,44.1975799696862,5073,"16247","N",7.9208,2.23541231632128,2411,19.7715560780394
"NiWUE_FLT_819","NiWUE_Rothamsted_091_1997_straw","16248","C",-26.1776,45.3015169029894,5273,"16248","N",7.2978,0.843960235997663,929,53.6773119997028
"NiWUE_FLT_820","NiWUE_Rothamsted_031_1998_grain","16249","C",-26.0376,43.5108588520953,4997,"16249","N",0.5898,1.39443176217846,1496,31.2032901374249
"NiWUE_FLT_822","NiWUE_Rothamsted_061_1998_grain","16253","C",-25.6374,43.4216014320708,5208,"16253","N",8.751,1.22793394731095,1392,35.3615123412458
"NiWUE_FLT_824","NiWUE_Rothamsted_071_1998_grain","16256","C",-25.5694,43.2061769767891,5153,"16256","N",8.265,1.34313140926025,1508,32.1682425702379
"NiWUE_FLT_826","NiWUE_Rothamsted_081_1998_grain","16258","C",-26.0874,43.1774231496447,5093,"16258","N",10.147,1.47206225341259,1630,29.3312480838016
"NiWUE_FLT_828","NiWUE_Rothamsted_091_1998_grain","16260","C",-26.5314,43.3790655294747,5257,"16260","N",11.422,1.63174264036172,1868,26.5845020265319
"NiWUE_FLT_830","NiWUE_Rothamsted_031_1999_grain","16267","C",-24.6494,43.5083871923462,5007,"16267","N",0.654,1.39394887550532,1499,31.2123263319638
"NiWUE_FLT_832","NiWUE_Rothamsted_061_1999_grain","16269","C",-24.3574,43.9240754679491,5080,"16269","N",6.506,1.3968621399196,1512,31.4448177903062
"NiWUE_FLT_834","NiWUE_Rothamsted_071_1999_grain","16271","C",-25.2234,43.9731067364185,5111,"16271","N",8.012,1.73128419211299,1895,25.3991268081472
"NiWUE_FLT_836","NiWUE_Rothamsted_081_1999_grain","16273","C",-24.8664,43.4803693562174,5265,"16273","N",6.603,1.97487265645015,2264,22.016796482652
"NiWUE_FLT_837","NiWUE_Rothamsted_081_1999_straw","16275","C",-26.0484,44.8472636539287,5351,"16275","N",4.728,0.449421961542542,506,99.7887675537712
"NiWUE_FLT_838","NiWUE_Rothamsted_091_1999_grain","16276","C",-24.9804,44.3059995898256,5197,"16276","N",7.928,2.10583735147433,2336,21.0396114205146
"NiWUE_FLT_839","NiWUE_Rothamsted_091_1999_straw","16277","C",-26.4024,44.7995183231541,5398,"16277","N",3.822,0.499472871860906,567,89.6935966837253
"NiWUE_FLT_840","NiWUE_Rothamsted_031_2000_grain","16278","C",-25.5334,43.4938931819373,5145,"16278","N",0.426,1.46502968841168,1636,29.6880626556391
"NiWUE_FLT_841","NiWUE_Rothamsted_031_2000_straw","16279","C",-27.3724,43.7863290550725,5084,"16279","N",0.727,0.523218611542888,569,83.6864899089762
"NiWUE_FLT_842","NiWUE_Rothamsted_061_2000_grain","16280","C",-25.2724,43.6257441652377,4954,"16280","N",6.649,1.54591255067684,1645,28.2200595021609
