"massspectroscopy_ID","UID","Analysis_C","atom_C","delta_C","percentage_C","amplitude_C","Analysis_N","atom_N","delta_N","percentage_N","amplitude_N","C_N_ratio"
"NiWUE_FLT_381","NiWUE_Rothamsted_8_1844_straw","15640","C",-24.0382857142857,42.9153954031871,5262,"15640","N",2.989,0.490740737666532,560,87.4502402373388
"NiWUE_FLT_382","NiWUE_Rothamsted_3_1845_grain","15641","C",-22.9582857142857,42.5939260920088,5338,"15641","N",4.037,2.03304925662929,2380,20.9507595318314
"NiWUE_FLT_383","NiWUE_Rothamsted_6_1845_grain","15642","C",-23.0452857142857,42.8957517139021,5285,"15642","N",3.96,1.84742140465836,2121,23.2192566383275
"NiWUE_FLT_384","NiWUE_Rothamsted_8_1845_grain","15643","C",-22.8052857142857,42.9522759655989,5343,"15643","N",3.596,1.73875085592001,2027,24.70295029294
"NiWUE_FLT_385","NiWUE_Rothamsted_3_1847_straw","15644","C",-25.2582857142857,44.0963460690069,5414,"15644","N",2.705,0.511818488566183,586,86.1562195467755
"NiWUE_FLT_386","NiWUE_Rothamsted_3_1850_grain","15645","C",-23.9102857142857,42.4977187428644,5280,"15645","N",2.982,1.63195819607844,1882,26.0409358799665
"NiWUE_FLT_387","NiWUE_Rothamsted_6_1850_grain","15648","C",-23.8252857142857,43.0027895281061,5303,"15648","N",6.551,1.78370964108194,2049,24.1086265038193
"NiWUE_FLT_388","NiWUE_Rothamsted_8_1850_grain","15649","C",-23.7842857142857,42.7745778410987,5216,"15649","N",5.893,1.69245702057506,1923,25.2736567730179
"NiWUE_FLT_389","NiWUE_Rothamsted_3_1850_straw","15650","C",-25.6852857142857,42.9329601239843,5162,"15650","N",1.185,0.557855110175036,623,76.960772324042
"NiWUE_FLT_390","NiWUE_Rothamsted_6_1852_straw","15651","C",-26.4162857142857,43.9292679894331,5324,"15651","N",6.453,0.44586584591848,501,98.5257525140531
