"massspectroscopy_ID","UID","Analysis","atom","delta","percentage","amplitude"
"NiWUE_FLT_113","NiWUE_AS_1a_1993-1996_grain","14800","C",-25.6347142857143,42.0896409985267,4909
"NiWUE_FLT_114","NiWUE_AS_8p_1993-1996_grain","14801","C",-25.9197142857143,42.0092640141861,4692
"NiWUE_FLT_115","NiWUE_AS_9k_1993-1996_grain","14802","C",-26.0177142857143,41.948538443305,4950
"NiWUE_FLT_116","NiWUE_AS_10r_1993-1996_grain","14803","C",-26.1197142857143,42.293285794265,4811
"NiWUE_FLT_117","NiWUE_AS_1a_1997-2000_grain","14804","C",-26.5437142857143,41.6939328887075,4707
"NiWUE_FLT_118","NiWUE_AS_8p_1997-2000_grain","14805","C",-26.8257142857143,41.6153488087837,4707
"NiWUE_FLT_119","NiWUE_AS_9k_1997-2000_grain","14808","C",-27.0957142857143,41.89760343729,4734
"NiWUE_FLT_120","NiWUE_AS_10r_1997-2000_grain","14809","C",-27.2137142857143,42.3148460368487,4891
"NiWUE_FLT_121","NiWUE_AS_1a_2001-2004_grain","14810","C",-26.8947142857143,42.123840634263,4898
"NiWUE_FLT_122","NiWUE_AS_8p_2001-2004_grain","14811","C",-27.1847142857143,42.0621129618109,4856
"NiWUE_FLT_123","NiWUE_AS_9k_2001-2004_grain","14812","C",-27.3487142857143,42.0142140018363,4882
"NiWUE_FLT_124","NiWUE_AS_10r_2001-2004_grain","14813","C",-27.3267142857143,42.4566969897659,4945
"NiWUE_FLT_125","NiWUE_AS_1a_2005-2008_grain","14814","C",-26.2577142857143,42.0263826255607,4760
"NiWUE_FLT_126","NiWUE_AS_8p_2005-2008_grain","14820","C",-25.9777142857143,42.0363437981251,4889
"NiWUE_FLT_127","NiWUE_AS_9k_2005-2008_grain","14821","C",-26.1587142857143,42.2351173160948,4902
"NiWUE_FLT_128","NiWUE_AS_10r_2005-2008_grain","14822","C",-25.9677142857143,42.4046213785029,4771
"NiWUE_FLT_129","NiWUE_AS_1a_2009-2012_grain","14823","C",-27.2747142857143,41.8055020619532,4880
"NiWUE_FLT_130","NiWUE_AS_8p_2009-2012_grain","14824","C",-27.7487142857143,41.9500969622008,4938
"NiWUE_FLT_131","NiWUE_AS_9k_2009-2012_grain","14825","C",-27.8157142857143,42.0265669517607,4895
"NiWUE_FLT_132","NiWUE_AS_10r_2009-2012_grain","14826","C",-28.0767142857143,42.0183083693774,4746
"NiWUE_FLT_133","NiWUE_AS_1a_2013-2016_grain","14829","C",-27.7266,41.5932633424462,4783
"NiWUE_FLT_134","NiWUE_AS_8p_2013-2016_grain","14830","C",-28.0066,41.5217741222868,4920
"NiWUE_FLT_135","NiWUE_AS_9k_2013-2016_grain","14832","C",-28.3596,41.1664554884934,4880
"NiWUE_FLT_136","NiWUE_AS_10r_2013-2016_grain","14833","C",-28.3246,41.7566881568315,4921
"NiWUE_FLT_137","NiWUE_AS_1a_2020_grain","14834","C",-26.8696,41.9633403364022,4900
"NiWUE_FLT_138","NiWUE_AS_8p_2020_grain","14835","C",-26.9316,41.9456623754128,4858
"NiWUE_FLT_139","NiWUE_AS_9k_2020_grain","14836","C",-26.9426,41.962033087823,4735
"NiWUE_FLT_140","NiWUE_AS_10r_2020_grain","14837","C",-27.1166,42.0956275174812,4873
"NiWUE_FLT_161","NiWUE_AS_1a_1985-1988_grain","14838","C",-25.2276,42.2289545472092,4900
"NiWUE_FLT_162","NiWUE_AS_8p_1985-1988_grain","14844","C",-25.2056,42.0553001544811,4852
"NiWUE_FLT_163","NiWUE_AS_9k_1985-1988_grain","14845","C",-25.6876,42.321184683855,4828
"NiWUE_FLT_164","NiWUE_AS_10r_1985-1988_grain","14846","C",-25.4016,42.4803399768023,4832
"NiWUE_FLT_165","NiWUE_TU_Berlin_1_2019_grain","14847","C",-27.5996,40.8563409165232,4644
"NiWUE_FLT_166","NiWUE_TU_Berlin_2_2019_grain","14848","C",-27.4386,40.7468360828919,4797
"NiWUE_FLT_167","NiWUE_TU_Berlin_3_2019_grain","14849","C",-28.2446,40.822810439858,4711
"NiWUE_FLT_168","NiWUE_TU_Berlin_4_2019_grain","14851","C",-27.3286,40.8892668328206,4852
"NiWUE_FLT_169","NiWUE_TU_Berlin_25_2019_grain","14852","C",-27.9626,40.7788881256087,4854
"NiWUE_FLT_170","NiWUE_TU_Berlin_26_2019_grain","14853","C",-27.2866,40.9814806094233,4818
"NiWUE_FLT_171","NiWUE_TU_Berlin_27_2019_grain","14854","C",-28.1466,40.9358147044904,4881
"NiWUE_FLT_172","NiWUE_TU_Berlin_28_2019_grain","14855","C",-27.2536,41.0571595607533,4850
"NiWUE_FLT_173","NiWUE_TU_Berlin_49_2019_grain","14856","C",-27.4156,40.9014763558389,4701
"NiWUE_FLT_174","NiWUE_TU_Berlin_50_2019_grain","14857","C",-27.8086,41.2280739632457,4762
"NiWUE_FLT_175","NiWUE_TU_Berlin_51_2019_grain","14858","C",-27.8576,40.8584943605636,4666
"NiWUE_FLT_176","NiWUE_TU_Berlin_52_2019_grain","14861","C",-27.5128,40.6531098693535,4882
"NiWUE_FLT_177","NiWUE_TU_Berlin_53_2019_grain","14862","C",-27.7748,40.69382540196,4867
"NiWUE_FLT_178","NiWUE_TU_Berlin_54_2019_grain","14864","C",-27.6018,40.5850990820639,4590
"NiWUE_FLT_179","NiWUE_TU_Berlin_55_2019_grain","14865","C",-27.7028,40.766117609186,4807
"NiWUE_FLT_180","NiWUE_TU_Berlin_56_2019_grain","14866","C",-27.8968,40.7501839564773,4681
"NiWUE_FLT_181","NiWUE_TU_Berlin_65_2019_grain","14867","C",-27.5458,40.8307043770864,4625
"NiWUE_FLT_182","NiWUE_TU_Berlin_66_2019_grain","14868","C",-28.1788,40.6860963997219,4782
"NiWUE_FLT_183","NiWUE_TU_Berlin_67_2019_grain","14869","C",-27.7688,40.6812890072916,4824
"NiWUE_FLT_184","NiWUE_TU_Berlin_68_2019_grain","14870","C",-27.4398,40.7937446229548,4601
"NiWUE_FLT_185","NiWUE_TU_Berlin_73_2019_grain","14876","C",-27.5618,40.8923838628702,4855
"NiWUE_FLT_186","NiWUE_TU_Berlin_74_2019_grain","14877","C",-27.1268,40.765052070477,4762
"NiWUE_FLT_187","NiWUE_TU_Berlin_75_2019_grain","14878","C",-27.6918,41.032260726105,4875
"NiWUE_FLT_188","NiWUE_TU_Berlin_76_2019_grain","14879","C",-28.1018,40.7900743157381,4653
"NiWUE_FLT_189","NiWUE_TU_Berlin_2_2020_grain","14880","C",-27.3478,41.0580077444569,4887
"NiWUE_FLT_190","NiWUE_TU_Berlin_7_2020_grain","14881","C",-27.8988,40.9709457575078,4714
"NiWUE_FLT_191","NiWUE_TU_Berlin_10_2020_grain","14882","C",-27.4628,41.0131992736881,4655
"NiWUE_FLT_192","NiWUE_TU_Berlin_15_2020_grain","14884","C",-27.7988,40.8165251049553,4758
"NiWUE_FLT_193","NiWUE_TU_Berlin_18_2020_grain","14885","C",-27.7078,40.9812347800098,4856
"NiWUE_FLT_194","NiWUE_TU_Berlin_23_2020_grain","14886","C",-27.3558,41.0314126405139,4739
"NiWUE_FLT_195","NiWUE_TU_Berlin_26_2020_grain","14887","C",-27.3438,40.8875032154081,4814
"NiWUE_FLT_196","NiWUE_TU_Berlin_31_2020_grain","14888","C",-28.1088,40.8488303598663,4738
"NiWUE_FLT_197","NiWUE_TU_Berlin_34_2020_grain","14889","C",-28.0388,40.7561418250266,4810
"NiWUE_FLT_198","NiWUE_TU_Berlin_39_2020_grain","14890","C",-27.5508,40.9907082637706,4706
