"massspectroscopy_ID","UID","Analysis_C","atom_C","delta_C","percentage_C","amplitude_C","Analysis_N","atom_N","delta_N","percentage_N","amplitude_N","C_N_ratio"
"NiWUE_FLT_100","NiWUE_AS_10r_1957-1960_grain","14538","C",-23.9166,42.1595758385866,5008,"14538","N",3.1494,2.03450984599314,2206,20.7222274798117
"NiWUE_FLT_101","NiWUE_AS_1a_1977-1980_grain","14539","C",-25.3396,42.4495739860325,4969,"14539","N",-0.4616,1.75939662412752,1907,24.1273476394688
"NiWUE_FLT_102","NiWUE_AS_8p_1977-1980_grain","14540","C",-25.5676,42.091933437787,4890,"14540","N",-1.1116,1.63611505655038,1758,25.7267563606038
"NiWUE_FLT_103","NiWUE_AS_9k_1977-1980_grain","14541","C",-25.7586,42.651406746408,4946,"14541","N",-1.1796,1.84091040541058,1987,23.1686488495324
"NiWUE_FLT_104","NiWUE_AS_10r_1977-1980_grain","14542","C",-25.7956,42.7188317129799,4844,"14542","N",-1.2556,2.13830621075165,2238,19.9778831947383
"NiWUE_FLT_105","NiWUE_AS_1a_1981-1984_grain","14543","C",-25.7556,42.134324244833,4818,"14543","N",-0.7516,1.37695294605102,1449,30.5996834283048
"NiWUE_FLT_106","NiWUE_AS_8p_1981-1984_grain","14545","C",-25.7016,42.0937934878458,4987,"14545","N",-1.7506,1.39117931333861,1533,30.2576332786515
"NiWUE_FLT_107","NiWUE_AS_9k_1981-1984_grain","14546","C",-25.7736,42.4230207204771,4972,"14546","N",-1.6826,1.56569429980169,1707,27.0953408502862
"NiWUE_FLT_108","NiWUE_AS_10r_1981-1984_grain","14547","C",-25.8526,42.3522017021226,4994,"14547","N",-1.4776,1.83918737148172,2017,23.0276710023309
"NiWUE_FLT_109","NiWUE_AS_1a_1989-1992_grain","14548","C",-25.3036,42.2822287205345,4883,"14548","N",-1.3216,1.50396150031896,1615,28.1139036548257
"NiWUE_FLT_110","NiWUE_AS_8p_1989-1992_grain","14549","C",-25.1126,42.175917379625,4734,"14549","N",-1.6256,1.56479122206646,1609,26.953063632302
"NiWUE_FLT_111","NiWUE_AS_9k_1989-1992_grain","14550","C",-25.2266,42.3041678435713,4744,"14550","N",-1.4646,1.68436866665486,1735,25.1157413938285
"NiWUE_FLT_112","NiWUE_AS_10r_1989-1992_grain","14551","C",-24.9106,42.5314712473309,4949,"14551","N",-1.2376,1.99419989968291,2178,21.3275866948412
"NiWUE_FLT_141","NiWUE_PRO_TEM+N_2002_grain","14506","C",-27.837,41.3193123897093,4840,"14506","N",2.7426,1.73570298516763,1883,23.8055201510867
"NiWUE_FLT_142","NiWUE_PRO_TEM_2002_grain","14507","C",-27.515,41.0895903079208,4820,"14507","N",2.5786,1.29228105949209,1395,31.7961715883002
"NiWUE_FLT_143","NiWUE_PRO_FUM_2002_grain","14508","C",-27.748,40.7839461557723,4880,"14508","N",3.3296,1.31177145301555,1453,31.0907407399488
"NiWUE_FLT_144","NiWUE_PRO_TEM+N_2006_grain","14509","C",-27.613,41.3760982463967,4807,"14509","N",7.9126,1.86194764317526,2000,22.2219450681417
"NiWUE_FLT_145","NiWUE_PRO_TEM_2006_grain","14510","C",-27.628,41.0453232872797,4630,"14510","N",1.8016,1.2010848429179,1238,34.1735419685794
"NiWUE_FLT_146","NiWUE_PRO_FUM_2006_grain","14512","C",-27.576,41.1778911235727,4797,"14512","N",3.0436,1.28725017017328,1379,31.9890352922071
"NiWUE_FLT_147","NiWUE_PRO_TEM+N_2010_grain","14513","C",-27.287,39.8983898711452,4701,"14513","N",3.3766,1.98994451114199,2145,20.0500012174954
"NiWUE_FLT_148","NiWUE_PRO_TEM_2010_grain","14514","C",-26.616,39.9856482878735,4520,"14514","N",2.1516,1.58690460083222,1626,25.1972602933433
"NiWUE_FLT_149","NiWUE_PRO_FUM_2010_grain","14515","C",-26.98,39.9372013252368,4761,"14515","N",2.2756,1.54773221748739,1691,25.8036893423796
"NiWUE_FLT_150","NiWUE_PRO_TEM+N_2014_grain","14516","C",-27.679,39.983061317566,4765,"14516","N",1.4446,1.75248377735909,1903,22.8150821332101
"NiWUE_FLT_151","NiWUE_PRO_TEM_2014_grain","14517","C",-27.438,39.493606353101,4538,"14517","N",1.6936,1.27774010691087,1334,30.9089509983236
"NiWUE_FLT_152","NiWUE_PRO_FUM_2014_grain","14518","C",-27.647,39.4408647802581,4660,"14518","N",2.5926,1.08369970404819,1165,36.3946438602185
"NiWUE_FLT_153","NiWUE_QA_TEM_N-_2006_grain","14519","C",-27.516,40.3270106739226,4747,"14519","N",0.1536,1.06665624488857,1139,37.8069418963891
"NiWUE_FLT_154","NiWUE_QA_TEM_N+_2006_grain","14522","C",-28.0486,40.4520417457053,4699,"14522","N",0.8254,1.47864262042698,1564,27.3575515725525
"NiWUE_FLT_155","NiWUE_QA_TEM_N-_2009_grain","14523","C",-26.7206,40.4692650298382,4742,"14523","N",0.9344,1.2730659467614,1367,31.788820628491
"NiWUE_FLT_156","NiWUE_QA_TEM_N+_2009_grain","14525","C",-27.3946,40.9769451600706,4620,"14525","N",2.2114,1.50991124567424,1552,27.1386449219885
"NiWUE_FLT_157","NiWUE_QA_TEM_N-_2011_grain","14526","C",-26.7276,40.576545162803,4773,"14526","N",0.3424,1.06361354659465,1144,38.1497069990468
"NiWUE_FLT_158","NiWUE_QA_TEM_N+_2011_grain","14527","C",-26.8326,40.8622727641817,4765,"14527","N",1.1894,1.55863825312576,1657,26.2166494901782
"NiWUE_FLT_159","NiWUE_QA_TEM_N-_2013_grain","14528","C",-26.0856,40.5810998064975,4755,"14528","N",1.4594,1.84771376995231,1986,21.9628713421046
"NiWUE_FLT_160","NiWUE_QA_TEM_N+_2013_grain","14529","C",-25.7336,40.4216329767503,4597,"14529","N",2.0134,1.77213667737556,1839,22.8095459525235
"NiWUE_FLT_67","NiWUE_BL_Var.13_2017_grain","14461","C",-27.5558571428571,40.7022282064546,4890,"14461","N",0.671571428571429,1.21334091328523,1354,33.5455829114421
"NiWUE_FLT_68","NiWUE_BL_Var.18_2017_grain","14462","C",-27.7398571428571,40.6283958901115,4867,"14462","N",-0.852428571428571,1.09077734546794,1212,37.2471944516614
"NiWUE_FLT_69","NiWUE_BL_Var.1_2018_grain","14463","C",-26.2208571428571,41.8002548065037,4828,"14463","N",5.94057142857143,2.70452549871062,2887,15.4556704406861
"NiWUE_FLT_70","NiWUE_BL_Var.6_2018_grain","14464","C",-28.0448571428571,40.5951934980429,4846,"14464","N",4.95157142857143,0.889330156681039,982,45.6469323491102
"NiWUE_FLT_71","NiWUE_BL_Var.13_2018_grain","14465","C",-27.2128571428571,40.8350235103854,4619,"14465","N",0.338571428571429,1.24890908900353,1292,32.6965540325809
