"massspectroscopy_ID","UID","Analysis","atom","delta","percentage","amplitude"
"NiWUE_FLT_1306","NiWUE_DOK_O1_2_2020_straw","17063","C",-28.9527142857143,43.0434464757983,5121
"NiWUE_FLT_1307","NiWUE_DOK_O2_2_2020_straw","17064","C",-28.9867142857143,43.0303534100534,4935
"NiWUE_FLT_1308","NiWUE_DOK_K1_2_2020_straw","17065","C",-28.9527142857143,42.739315721088,5125
"NiWUE_FLT_1309","NiWUE_DOK_K2_2_2020_straw","17066","C",-28.8707142857143,42.7876559668067,5118
"NiWUE_FLT_1310","NiWUE_DOK_N0_3_2020_straw","17067","C",-28.3797142857143,43.3248507742278,5069
"NiWUE_FLT_1311","NiWUE_DOK_M2_3_2020_straw","17068","C",-28.6057142857143,42.9756630960925,5125
"NiWUE_FLT_1312","NiWUE_DOK_D1_3_2020_straw","17071","C",-29.0907142857143,42.5744538801739,4915
"NiWUE_FLT_1313","NiWUE_DOK_D2_3_2020_straw","17072","C",-29.1937142857143,42.8169229525946,4895
"NiWUE_FLT_1314","NiWUE_DOK_O1_3_2020_straw","17073","C",-28.7637142857143,43.0507793888908,4967
"NiWUE_FLT_1315","NiWUE_DOK_O2_3_2020_straw","17074","C",-29.3447142857143,43.1761661494147,4972
"NiWUE_FLT_1316","NiWUE_DOK_K1_3_2020_straw","17075","C",-28.4567142857143,42.8123621260551,4888
"NiWUE_FLT_1317","NiWUE_DOK_K2_3_2020_straw","17076","C",-29.2237142857143,43.6891122055602,5136
"NiWUE_FLT_1318","NiWUE_DOK_N0_4_2020_straw","17077","C",-28.0287142857143,41.8197493263541,4907
"NiWUE_FLT_1319","NiWUE_DOK_M2_4_2020_straw","17083","C",-29.0147142857143,43.7146770678774,5169
"NiWUE_FLT_1320","NiWUE_DOK_D1_4_2020_straw","17084","C",-28.7607142857143,40.9521490944472,4863
"NiWUE_FLT_1321","NiWUE_DOK_D2_4_2020_straw","17085","C",-28.8387142857143,41.8452256626517,5030
"NiWUE_FLT_1322","NiWUE_DOK_O1_4_2020_straw","17086","C",-29.0767142857143,42.5798974822592,5081
"NiWUE_FLT_1323","NiWUE_DOK_O2_4_2020_straw","17087","C",-28.9967142857143,42.2465873194501,5073
"NiWUE_FLT_1324","NiWUE_DOK_K1_4_2020_straw","17088","C",-28.7477142857143,43.6124780208565,5101
"NiWUE_FLT_1325","NiWUE_DOK_K2_4_2020_straw","17089","C",-29.1097142857143,42.5515176924022,4984
"NiWUE_FLT_1326","NiWUE_DOK_N0_1_2022_grain","17092","C",-26.954,42.1290260639584,4994
"NiWUE_FLT_1327","NiWUE_DOK_M2_1_2022_grain","17093","C",-27.94,42.0131250200847,4918
"NiWUE_FLT_1328","NiWUE_DOK_K2_1_2022_grain","17095","C",-28.12,41.9585703888469,4957
"NiWUE_FLT_1329","NiWUE_DOK_N0_1_2022_straw","17096","C",-28.644,42.7685615670383,5063
"NiWUE_FLT_1330","NiWUE_DOK_M2_1_2022_straw","17097","C",-29.078,43.3679664419985,4933
"NiWUE_FLT_1331","NiWUE_DOK_K2_1_2022_straw","17098","C",-29.364,43.2048658979097,4877
"NiWUE_FLT_1332","NiWUE_FAST_O-IT_CC_halfN_2_2013_grain","17099","C",-27.264,43.4531533217276,5136
"NiWUE_FLT_1333","NiWUE_FAST_O-IT_CC_normN_2_2013_grain","17100","C",-27.686,43.3584441510492,5077
"NiWUE_FLT_1334","NiWUE_FAST_C-IT_CC_halfN_2_2013_grain","17101","C",-27.31,42.8263043843664,4913
"NiWUE_FLT_1335","NiWUE_FAST_C-IT_CC_normN_2_2013_grain","17107","C",-27.559,43.9565583212897,5168
"NiWUE_FLT_1337","NiWUE_FAST_O-IT_CC_normN_2_2013_straw","17109","C",-29.744,45.0618303507313,5100
"NiWUE_FLT_1338","NiWUE_FAST_C-IT_CC_halfN_2_2013_straw","17110","C",-29.613,45.8949133936217,5182
"NiWUE_FLT_1339","NiWUE_FAST_C-IT_CC_normN_2_2013_straw","17111","C",-29.378,45.1500524547679,5248
"NiWUE_FLT_1340","NiWUE_FAST_O-IT_CC_halfN_2_2014_grain","17112","C",-26.799,42.5834344280153,4907
"NiWUE_FLT_1341","NiWUE_FAST_O-IT_CC_normN_2_2014_grain","17114","C",-27.229,43.4872758422082,5034
"NiWUE_FLT_1342","NiWUE_FAST_C-IT_CC_halfN_2_2014_grain","17115","C",-26.849,43.643005233113,5038
"NiWUE_FLT_1343","NiWUE_FAST_C-IT_CC_normN_2_2014_grain","17116","C",-27.119,43.3592822455627,5019
"NiWUE_FLT_1344","NiWUE_FAST_O-IT_CC_halfN_2_2014_straw","17117","C",-29.099,45.47889210091,5238
"NiWUE_FLT_1345","NiWUE_FAST_O-IT_CC_normN_2_2014_straw","17118","C",-29.194,45.1520836396247,5273
"NiWUE_FLT_1346","NiWUE_FAST_C-IT_CC_halfN_2_2014_straw","17119","C",-28.971,45.1580162428565,5077
"NiWUE_FLT_1347","NiWUE_FAST_C-IT_CC_normN_2_2014_straw","17120","C",-28.511,45.2868164858931,5303
"NiWUE_FLT_1348","NiWUE_FAST_C-IT_CC_normN_2_2016_grain","17121","C",-27.259,44.2420809379833,5053
"NiWUE_FLT_1349","NiWUE_FAST_O-IT_CC_halfN_2_2016_grain","17124","C",-27.946,43.5294861876998,4970
"NiWUE_FLT_1350","NiWUE_FAST_O-IT_CC_normN_2_2016_grain","17125","C",-27.349,43.444887877978,5129
"NiWUE_FLT_1351","NiWUE_FAST_C-IT_CC_halfN_2_2016_grain","17127","C",-27.536,43.7286279748025,5075
"NiWUE_FLT_1352","NiWUE_FAST_C-IT_CC_normN_2_2016_straw","17128","C",-28.717,44.1509656513092,5050
"NiWUE_FLT_1353","NiWUE_FAST_O-IT_CC_halfN_2_2016_straw","17129","C",-29.151,44.6689087411397,5163
"NiWUE_FLT_1354","NiWUE_FAST_O-IT_CC_normN_2_2016_straw","17130","C",-29.03,44.1164928635211,5078
"NiWUE_FLT_1355","NiWUE_FAST_C-IT_CC_halfN_2_2016_straw","17131","C",-28.869,44.2944282211281,4962
"NiWUE_FLT_1356","NiWUE_FAST_C-IT_CC_normN_2_2017_grain","17132","C",-27.03,43.9241988953384,5017
"NiWUE_FLT_1357","NiWUE_FAST_O-IT_CC_halfN_2_2017_grain","17133","C",-26.981,43.7434043078694,5169
"NiWUE_FLT_1358","NiWUE_FAST_O-IT_CC_normN_2_2017_grain","17139","C",-27.596,44.1058314819954,5206
"NiWUE_FLT_1359","NiWUE_FAST_C-IT_CC_halfN_2_2017_grain","17140","C",-26.957,43.7181027359225,5182
"NiWUE_FLT_1360","NiWUE_FAST_C-IT_CC_normN_2_2017_straw","17141","C",-27.311,45.7458883911648,5320
"NiWUE_FLT_1361","NiWUE_FAST_O-IT_CC_halfN_2_2017_straw","17142","C",-27.902,44.1784697418196,5235
"NiWUE_FLT_1362","NiWUE_FAST_O-IT_CC_normN_2_2017_straw","17143","C",-28.211,44.6973124079783,5163
"NiWUE_FLT_1363","NiWUE_FAST_C-IT_CC_halfN_2_2017_straw","17144","C",-27.824,44.9682974454821,5311
"NiWUE_FLT_1364","NiWUE_FAST_O-IT_CC_halfN_1_2019_grain","17145","C",-27.714,41.3436685420548,4957
"NiWUE_FLT_1365","NiWUE_FAST_O-IT_CC_normN_1_2019_grain","17147","C",-27.966,41.3761503319023,4886
"NiWUE_FLT_1366","NiWUE_FAST_C-IT_CC_halfN_1_2019_grain","17148","C",-28.326,41.7344408564291,4764
"NiWUE_FLT_1367","NiWUE_FAST_C-IT_CC_normN_1_2019_grain","17149","C",-27.784,41.8610523723563,4953
"NiWUE_FLT_1368","NiWUE_FAST_O-IT_CC_halfN_2_2019_grain","17150","C",-28.28,41.6375492479861,4917
"NiWUE_FLT_1369","NiWUE_FAST_O-IT_CC_normN_2_2019_grain","17151","C",-28.478,41.5437989567011,4898
"NiWUE_FLT_1370","NiWUE_FAST_C-IT_CC_halfN_2_2019_grain","17152","C",-28.134,41.9747252646875,5017
"NiWUE_FLT_1371","NiWUE_FAST_C-IT_CC_normN_2_2019_grain","17153","C",-27.984,41.5579592558287,4941
