"massspectroscopy_ID","UID","Analysis","atom","delta","percentage","amplitude"
"NiWUE_FLT_1372","NiWUE_FAST_O-IT_CC_halfN_3_2019_grain","17159","N",2.922,1.71730084843642,1893
"NiWUE_FLT_1373","NiWUE_FAST_O-IT_CC_normN_3_2019_grain","17160","N",4.039,1.86158678710149,2090
"NiWUE_FLT_1374","NiWUE_FAST_C-IT_CC_halfN_3_2019_grain","17161","N",0.251,1.72646921778771,1895
"NiWUE_FLT_1375","NiWUE_FAST_C-IT_CC_normN_3_2019_grain","17162","N",-1.065,2.42759569753388,2672
"NiWUE_FLT_1376","NiWUE_FAST_O-IT_CC_halfN_4_2019_grain","17163","N",2.132,1.54205319621898,1620
"NiWUE_FLT_1377","NiWUE_FAST_O-IT_CC_normN_4_2019_grain","17164","N",2.647,1.7382314325147,1903
"NiWUE_FLT_1378","NiWUE_FAST_C-IT_CC_halfN_4_2019_grain","17167","N",-0.593,1.87900610752703,2118
"NiWUE_FLT_1379","NiWUE_FAST_C-IT_CC_normN_4_2019_grain","17168","N",-1.694,2.30180490359745,2510
"NiWUE_FLT_1396","NiWUE_FAST_O-IT_CC_halfN_1_2020_grain","17193","N",3.1664,1.68151182328316,1788
"NiWUE_FLT_1397","NiWUE_FAST_O-IT_CC_normN_1_2020_grain","17194","N",3.7004,1.65800421539006,1822
"NiWUE_FLT_1398","NiWUE_FAST_C-IT_CC_halfN_1_2020_grain","17195","N",0.5974,1.697109852566,1872
"NiWUE_FLT_1399","NiWUE_FAST_C-IT_CC_normN_1_2020_grain","17196","N",-0.5486,2.19127826924563,2341
"NiWUE_FLT_1400","NiWUE_FAST_O-IT_CC_halfN_2_2020_grain","17197","N",3.4704,1.69481022393926,1811
"NiWUE_FLT_1401","NiWUE_FAST_O-IT_CC_normN_2_2020_grain","17203","N",3.3344,1.62516227948896,1696
"NiWUE_FLT_1402","NiWUE_FAST_C-IT_CC_halfN_2_2020_grain","17204","N",0.7514,1.65696667893133,1821
"NiWUE_FLT_1403","NiWUE_FAST_C-IT_CC_normN_2_2020_grain","17205","N",0.7444,2.34197539754686,2497
"NiWUE_FLT_1404","NiWUE_FAST_O-IT_CC_halfN_3_2020_grain","17206","N",3.0654,1.57740816964729,1728
"NiWUE_FLT_1405","NiWUE_FAST_O-IT_CC_normN_3_2020_grain","17207","N",3.6864,1.63448070774779,1775
"NiWUE_FLT_1406","NiWUE_FAST_C-IT_CC_halfN_3_2020_grain","17208","N",1.1944,1.52742402878027,1672
"NiWUE_FLT_1407","NiWUE_FAST_C-IT_CC_normN_3_2020_grain","17210","N",0.3424,2.1705621402683,2436
"NiWUE_FLT_1408","NiWUE_FAST_O-IT_CC_halfN_4_2020_grain","17211","N",3.3314,1.43385381071649,1582
"NiWUE_FLT_1409","NiWUE_FAST_O-IT_CC_normN_4_2020_grain","17212","N",2.7424,1.73435546418185,1920
"NiWUE_FLT_1410","NiWUE_FAST_C-IT_CC_halfN_4_2020_grain","17213","N",0.6944,1.98848970604961,2108
"NiWUE_FLT_1411","NiWUE_FAST_C-IT_CC_normN_4_2020_grain","17214","N",0.4064,2.19027902750353,2281
"NiWUE_FLT_1428","NiWUE_FAST_O-IT_CC_halfN_2_2022_grain","17239","N",1.8862,2.11930044644008,2364
"NiWUE_FLT_1429","NiWUE_FAST_O-IT_CC_normN_2_2022_grain","17240","N",1.8202,2.16276562441183,2431
"NiWUE_FLT_1430","NiWUE_FAST_C-IT_CC_halfN_2_2022_grain","17241","N",-0.5318,2.27640795652832,2467
"NiWUE_FLT_1431","NiWUE_FAST_C-IT_CC_normN_2_2022_grain","17243","N",-0.2108,2.53192470537372,2771
"NiWUE_FLT_1436","NiWUE_FAST_O-IT_CC_halfN_2_2023_grain","17248","N",1.9912,1.80667873607755,1904
"NiWUE_FLT_1437","NiWUE_FAST_O-IT_CC_normN_2_2023_grain","17249","N",2.4492,1.78180568959608,1988
